TransactionID,Region,GeoZone,DeliveryDistance,DeliveryTime,ShippingMethod,LocalTaxRate,OrderValue,ProductCategory,CustomerID,WarehouseID,DeliveryStatus,DeliveryDate,OrderDate,DeliveryPartner,ShippingCost,HandlingFee,IsGift,GiftWrap,CustomerRegion
TXN000018,Central,Urban,19.02,5,Express,0.15,568.77,Electronics,CUST02435,WH028,Delayed,2022-04-29,2022-07-08,DHL,14.04,17.23,False,False,South
TXN000019,East,Rural,59.63,13,Express,0.14,790.46,Electronics,CUST02004,WH035,Delivered,2023-08-02,2022-07-23,Local,17.97,8.93,True,False,South
TXN000020,East,Urban,41.06,14,Standard,0.12,180.79,Electronics,CUST02724,WH043,Delivered,2022-03-28,2023-09-12,UPS,37.5,5.7,False,False,West
TXN000021,North,Suburban,33.47,10,Express,0.14,776.4,Home,CUST01012,WH035,Delayed,2023-03-20,2022-08-03,Local,21.63,15.64,False,False,West
,South,Urban,61.03,4,Standard,0.12,296.27,Clothing,CUST00316,WH049,Returned,2022-12-12,2023-09-12,UPS,17.66,8.93,False,True,North
TXN000023,East,Urban,48.13,9,Same Day,0.1,762.92,Home,CUST02530,WH009,Delivered,2023-07-20,2022-03-24,Local,17.85,2.42,False,False,South
TXN000024,South,Urban,99.21,10,Standard,0.13,90.96,Clothing,CUST01628,WH011,Returned,2023-05-31,2022-06-01,FedEx,42.59,14.87,True,False,East
TXN000025,East,Suburban,97.58,5,Standard,0.1,196.96,Clothing,CUST00680,WH020,Delivered,2022-09-08,2022-10-01,DHL,22.07,17.87,True,True,East
TXN000026,West,Rural,65.86,3,Express,0.12,122.74,Clothing,CUST02475,WH014,Delayed,2022-04-03,2022-05-15,DHL,36.87,12.55,False,True,South
TXN000027,Central,Suburban,24.29,5,Standard,0.13,943.82,Home,CUST00132,WH032,Delayed,2022-11-20,2023-08-22,DHL,43.49,2.24,True,False,West
,West,Urban,60.95,6,Standard,0.14,927.85,Home,CUST00206,WH007,Returned,2022-06-05,2023-08-12,DHL,18.02,10.75,False,True,West
TXN000029,North,Rural,18.53,12,Same Day,0.08,400.94,Electronics,CUST02918,WH029,Delayed,2022-12-08,2023-10-20,Local,23.72,13.2,True,False,East
TXN000030,Central,Suburban,79.26,11,Same Day,0.1,603.06,Books,CUST00728,WH039,Returned,2022-11-04,2022-09-02,Local,28.88,8.35,False,False,East
TXN000031,North,Suburban,97.08,2,Express,0.1,594.22,Electronics,CUST01672,WH005,Returned,2022-02-17,2023-01-03,UPS,10.42,6.32,False,False,North
,South,Urban,23.46,1,Standard,0.12,672.24,Books,CUST02052,WH008,Delayed,2023-11-11,2022-09-13,DHL,48.03,16.15,False,False,South
TXN000033,South,Suburban,44.73,3,Express,0.09,699.67,Home,CUST01397,WH044,Delivered,2023-08-06,2022-06-25,UPS,48.8,14.72,False,True,West
TXN000034,Central,Urban,29.27,10,Same Day,0.09,537.0,Clothing,CUST01576,WH050,Delivered,2023-09-18,2023-09-06,UPS,38.11,10.67,False,False,East
TXN000035,South,Rural,1.88,9,Same Day,0.05,565.56,Clothing,CUST01005,WH037,Delayed,2022-10-23,2023-12-13,UPS,17.69,9.39,True,False,East
TXN000036,East,Suburban,97.03,7,Standard,0.06,766.95,Home,CUST01292,WH027,Returned,2022-03-13,2022-12-29,Local,47.16,4.16,True,True,South
TXN000037,North,Urban,60.51,5,Standard,0.15,298.02,Books,CUST00935,WH018,Delivered,2023-10-22,2022-09-15,Local,26.51,2.07,True,False,North
TXN000038,West,Rural,78.85,13,Express,0.08,290.73,Home,CUST00427,WH001,Delivered,2022-06-20,2023-06-13,UPS,11.25,17.53,False,False,South
TXN000039,East,Urban,99.22,7,Same Day,0.11,614.75,Electronics,CUST00432,WH029,Delayed,2023-02-12,2022-07-14,FedEx,25.28,11.4,True,True,East
TXN000040,East,Urban,14.35,14,Express,0.12,343.51,Books,CUST01781,WH020,Delayed,2023-04-03,2023-02-12,FedEx,17.07,3.21,True,False,East
TXN000041,Central,Urban,12.98,11,Express,0.14,928.92,Books,CUST00265,WH049,Returned,2023-02-27,2022-07-03,DHL,20.1,16.06,False,False,West
TXN000042,East,Suburban,59.65,14,Express,0.09,260.18,Books,CUST00421,WH048,Delayed,2023-12-19,2022-10-22,Local,24.29,12.61,False,True,East
TXN000043,West,Urban,71.68,6,Express,0.15,295.98,Books,CUST01586,WH045,Returned,2023-09-19,2023-10-09,FedEx,19.19,17.55,False,True,West
TXN000044,West,Suburban,34.1,11,Same Day,0.09,125.82,Clothing,CUST00266,WH037,Returned,2022-02-14,2023-12-14,FedEx,33.17,10.73,True,True,East
TXN000045,South,Urban,51.91,10,Express,0.06,684.38,Home,CUST00925,WH040,Delivered,2022-02-14,2022-08-11,Local,49.8,4.22,False,True,West
TXN000046,West,Urban,22.16,10,Express,0.08,113.05,Clothing,CUST00735,WH033,Returned,2022-03-22,2023-07-02,DHL,19.48,8.69,True,True,South
TXN000047,South,Urban,63.26,12,Standard,0.15,180.44,Books,CUST00212,WH015,Returned,2023-05-27,2022-03-20,DHL,15.97,11.82,False,True,East
TXN000048,East,Suburban,15.65,11,Express,0.05,271.2,Clothing,CUST01549,WH038,Delayed,2022-07-27,2022-11-13,DHL,33.7,1.61,True,True,North
TXN000049,Central,Suburban,33.88,4,Standard,0.1,164.68,Clothing,CUST02047,WH043,Delayed,2022-11-30,2022-05-01,UPS,18.34,12.95,True,False,South
TXN000050,South,Rural,2.42,10,Standard,0.13,805.67,Clothing,CUST01943,WH011,Delayed,2023-01-09,2023-08-28,FedEx,47.24,7.58,True,True,South
TXN000051,North,Urban,45.28,14,Express,0.14,840.87,Books,CUST01310,WH023,Delivered,2023-05-19,2022-05-30,FedEx,35.14,3.83,False,True,East
TXN000052,North,Rural,22.84,12,Standard,0.07,326.6,Clothing,CUST00360,WH014,Delayed,2022-04-24,2022-01-20,Local,18.97,5.11,True,False,North
TXN000053,West,Urban,2.62,14,Same Day,0.1,680.01,Electronics,CUST02643,WH029,Delayed,2022-03-25,2023-08-01,FedEx,14.95,12.0,True,True,East
TXN000054,West,Rural,93.16,5,Standard,0.08,671.57,Home,CUST01856,WH025,Delivered,2022-08-13,2023-03-30,Local,11.41,16.87,False,False,West
TXN000055,North,Suburban,27.62,10,Standard,0.14,848.08,Clothing,CUST01857,WH015,Delivered,2023-06-02,2023-05-30,DHL,6.62,5.25,False,False,South
TXN000056,Central,Suburban,96.92,14,Standard,0.12,568.66,Electronics,CUST02786,WH049,Returned,2023-09-18,2023-02-17,UPS,23.6,8.44,False,False,East
TXN000057,North,Urban,82.35,6,Express,0.15,689.25,Books,CUST02253,WH007,Delivered,2022-06-20,2023-05-15,DHL,6.92,10.31,False,False,North
TXN000058,Central,Urban,81.07,4,Express,0.15,706.76,Clothing,CUST01235,WH028,Delayed,2023-01-08,2022-03-03,DHL,17.47,2.73,False,False,North
TXN000059,South,Urban,81.53,3,Same Day,0.12,896.58,Electronics,CUST02823,WH013,Delayed,2022-05-28,2022-07-15,FedEx,36.55,1.22,True,False,South
TXN000060,North,Rural,13.36,11,Standard,0.08,219.75,Books,CUST00415,WH027,Returned,2022-04-22,2023-04-23,DHL,24.93,2.72,False,True,North
TXN000061,12/05/2023,Suburban,79.29,14,Same Day,0.07,798.64,Electronics,CUST00433,WH013,Returned,2022-05-01,2022-04-10,UPS,43.37,14.58,True,False,South
TXN000062,East,Urban,83.5,9,Express,0.14,94.5,Electronics,CUST02637,WH037,Returned,2022-07-30,2022-08-14,FedEx,15.87,8.08,True,False,West
TXN000063,North,Suburban,21.57,12,Express,0.12,932.3,Books,CUST02425,WH034,Returned,2022-06-26,2023-09-17,FedEx,5.73,9.27,False,True,East
TXN000064,South,Rural,92.82,8,Express,0.11,768.64,Books,CUST00537,WH033,Returned,2022-10-02,2023-03-29,FedEx,37.89,18.49,True,True,West
TXN000065,South,Suburban,27.03,6,Same Day,0.09,803.6,Home,CUST00783,WH019,Returned,2022-06-21,2022-09-01,Local,11.61,18.31,False,True,North
TXN000066,East,Suburban,94.64,12,Same Day,0.05,414.46,Books,CUST02069,WH050,Delayed,2023-02-28,2023-11-28,Local,21.23,14.25,True,False,West
TXN000067,South,Urban,13.74,13,Standard,0.15,836.33,Electronics,CUST01764,WH024,Delayed,2023-05-08,2023-03-10,DHL,31.55,13.39,False,True,South
TXN000068,East,Suburban,98.55,3,Express,0.12,389.68,Electronics,CUST00780,WH012,Returned,2023-09-20,2022-05-23,DHL,42.22,19.47,True,True,West
TXN000069,East,Urban,98.57,8,Same Day,0.12,947.81,Clothing,CUST00974,WH029,Delayed,2023-07-06,2022-01-07,UPS,46.52,17.04,True,True,South
TXN000070,South,Suburban,32.76,13,Standard,0.07,218.74,Books,CUST01453,WH042,Delayed,2023-09-03,2023-12-03,DHL,11.1,15.68,True,True,South
TXN000071,East,Suburban,68.6,1,Express,0.15,152.82,Electronics,CUST00090,WH006,Delayed,2023-11-07,2022-09-27,DHL,26.01,1.8,False,False,East
TXN000072,Central,Urban,96.6,11,Standard,0.12,299.36,Electronics,CUST00635,WH023,Delivered,2023-06-02,2022-06-14,Local,33.22,3.91,False,False,North
TXN000073,Central,Suburban,38.6,8,Express,0.07,502.99,Electronics,CUST01509,WH023,Delivered,2023-08-09,2022-08-14,UPS,14.68,11.19,True,False,North
TXN000074,East,Urban,84.25,1,Same Day,0.1,804.6,Clothing,CUST00374,WH040,Delivered,2023-01-26,2023-02-14,Local,14.45,2.99,False,True,South
TXN000075,South,Rural,19.34,10,Same Day,0.07,419.14,Clothing,CUST01998,WH014,Delayed,2022-08-30,2023-02-11,FedEx,5.9,16.61,True,False,South
TXN000076,East,Rural,80.31,6,Express,0.1,227.27,Clothing,CUST01413,WH004,Returned,2023-02-15,2022-12-01,DHL,49.87,13.67,False,False,East
TXN000077,North,Suburban,9.63,13,Standard,0.15,414.06,Books,CUST02506,WH006,Returned,2023-08-12,2022-09-09,UPS,47.57,13.06,False,True,West
TXN000078,12/05/2023,Urban,29.46,5,Express,0.05,498.39,Home,CUST01723,WH018,Delayed,2022-06-21,2023-09-22,UPS,18.72,16.87,True,True,West
TXN000079,Central,Rural,55.63,9,Standard,0.14,417.95,Clothing,CUST02366,WH022,Delivered,2022-06-04,2023-04-19,FedEx,44.8,19.04,True,False,West
TXN000080,West,Suburban,23.63,10,Same Day,0.12,566.14,Clothing,CUST02443,WH008,Delayed,2023-11-07,2023-05-12,FedEx,10.43,10.5,True,False,East
TXN000081,North,Rural,5.92,7,Standard,0.14,477.39,Home,CUST02288,WH016,Delivered,2023-02-23,2023-11-11,FedEx,30.39,1.37,True,True,West
TXN000082,North,Suburban,84.76,11,Standard,0.06,261.88,Home,CUST00201,WH044,Delayed,2023-05-23,2022-05-02,FedEx,44.64,6.84,False,False,South
TXN000083,East,Rural,49.82,12,Same Day,0.07,701.2,Books,CUST01004,WH048,Delayed,2022-04-27,2022-12-26,Local,7.57,8.71,True,False,East
TXN000084,Central,Suburban,63.02,5,Same Day,0.14,370.21,Clothing,CUST02137,WH043,Returned,2023-09-13,2022-06-11,Local,49.74,15.83,False,True,South
TXN000085,North,Urban,98.44,9,Express,0.13,938.75,Home,CUST02147,WH022,Returned,2023-12-15,2022-02-09,UPS,40.02,16.27,False,False,East
TXN000086,North,Rural,81.01,13,Same Day,0.12,141.73,Clothing,CUST00887,WH028,Delivered,2022-08-10,2023-03-02,UPS,44.98,1.84,True,True,East
TXN000087,North,Urban,5.79,13,Express,0.11,36.63,Clothing,CUST00092,WH034,Delivered,2022-05-09,2023-09-17,DHL,34.07,8.32,True,False,West
TXN000088,South,Rural,99.36,5,Standard,0.05,459.01,Home,CUST01679,WH040,Returned,2022-11-17,2022-11-28,FedEx,19.93,5.57,False,False,East
TXN000089,West,Urban,99.27,9,Standard,0.14,337.43,Clothing,CUST01057,WH040,Delayed,2023-09-10,2023-08-30,UPS,11.69,2.78,True,False,South
TXN000090,South,Urban,86.34,8,Same Day,0.14,146.26,Electronics,CUST02229,WH016,Delayed,2023-10-04,2023-09-01,Local,32.97,10.47,True,True,South
TXN000091,East,Rural,87.21,10,Standard,0.1,845.68,Clothing,CUST02111,WH020,Delivered,2022-03-24,2023-05-15,FedEx,25.32,14.72,False,True,South
TXN000092,East,Rural,86.93,10,Express,0.11,306.34,Books,CUST00875,WH042,Delivered,2023-07-25,2022-10-13,FedEx,26.46,19.4,False,True,North
TXN000093,Central,Suburban,61.83,11,Same Day,0.07,39.64,Electronics,CUST00119,WH012,Delayed,2022-07-07,2022-12-27,FedEx,12.47,15.32,True,True,North
TXN000094,South,Urban,18.55,9,Express,0.1,950.22,Clothing,CUST00341,WH014,Delivered,2023-08-05,2023-09-26,Local,17.13,14.26,False,True,East
TXN000095,Central,Suburban,55.68,2,Express,0.14,186.53,Electronics,CUST01495,WH038,Returned,2022-05-27,2022-07-17,FedEx,10.15,9.52,False,False,South
TXN000096,North,Suburban,78.75,2,Express,0.06,697.05,Home,CUST02545,WH039,Delivered,2023-02-20,2023-10-19,FedEx,25.43,13.9,False,False,East
TXN000097,Central,Suburban,99.66,4,Standard,0.11,630.17,Clothing,CUST00041,WH046,Returned,2023-05-21,2022-12-29,UPS,34.3,16.58,False,False,East
TXN000098,West,Urban,77.12,2,Same Day,0.06,961.6,Electronics,CUST00905,WH004,Delivered,2023-06-20,2022-02-21,FedEx,15.46,3.86,False,True,West
TXN000099,North,Urban,84.5,13,Express,0.1,872.19,Books,CUST01964,WH011,Delivered,2023-05-28,2023-04-28,UPS,15.27,15.29,True,False,South
TXN000100,East,Urban,57.51,5,Express,0.08,227.89,Books,CUST00186,WH004,Delivered,2022-09-08,2022-01-13,UPS,29.91,8.85,True,False,East
,East,Suburban,3.21,6,Same Day,0.06,174.14,Home,CUST00907,WH047,Delivered,2023-06-23,2023-08-01,Local,35.75,4.41,True,True,East
TXN000102,North,Urban,96.1,11,Standard,0.06,959.87,Clothing,CUST01650,WH035,Delivered,2022-10-23,2023-10-20,DHL,5.75,3.39,False,True,South
TXN000103,North,Rural,76.74,7,Express,0.1,890.74,Home,CUST01143,WH021,Delayed,2022-03-11,2023-07-09,FedEx,7.46,17.43,True,False,West
TXN000104,South,Suburban,31.12,3,Express,0.12,670.15,Books,CUST01541,WH007,Delayed,2023-04-20,2023-07-05,UPS,29.73,15.53,False,False,East
TXN000105,East,Urban,16.55,7,Standard,0.14,129.08,Clothing,CUST01348,WH002,Returned,2022-07-03,2022-09-29,DHL,11.7,8.83,True,False,West
TXN000106,North,Urban,6.34,14,Express,0.08,918.28,Electronics,CUST01674,WH015,Delivered,2023-06-20,2022-01-23,DHL,40.84,5.75,False,False,East
TXN000107,East,Rural,9.62,2,Express,0.13,285.47,Books,CUST00053,WH049,Delayed,2022-05-07,2022-06-06,Local,14.29,3.38,False,True,East
TXN000108,West,Rural,40.75,12,Standard,0.08,315.31,Books,CUST02487,WH042,Delayed,2023-12-31,2023-02-20,FedEx,45.08,11.17,True,True,North
TXN000109,North,Rural,7.27,14,Same Day,0.1,527.01,Home,CUST02026,WH006,Delivered,2022-04-02,2022-01-28,Local,5.21,12.68,True,True,West
TXN000110,12/05/2023,Urban,61.42,13,Same Day,0.1,565.66,Electronics,CUST01970,WH012,Returned,2022-02-13,2022-04-04,UPS,12.78,1.58,False,False,North
TXN000111,Central,Rural,91.17,8,Standard,0.12,110.5,Books,CUST02156,WH048,Returned,2023-10-01,2023-01-21,Local,7.64,16.79,False,True,North
TXN000112,West,Rural,36.0,14,Express,0.06,658.27,Electronics,CUST01313,WH045,Returned,2023-01-02,2022-09-15,Local,20.23,8.07,False,False,East
TXN000113,East,Urban,17.49,5,Same Day,0.07,324.26,Books,CUST02754,WH019,Delivered,2022-08-27,2023-07-18,DHL,7.4,3.86,True,True,North
TXN000114,South,Urban,30.53,12,Express,0.11,889.76,Electronics,CUST02597,WH016,Returned,2023-06-14,2023-06-17,FedEx,38.11,6.88,False,False,East
TXN000115,East,Rural,69.29,4,Express,0.13,933.81,Books,CUST02218,WH028,Returned,2023-05-12,2022-06-11,DHL,22.26,8.7,False,True,North
TXN000116,North,Suburban,6.68,4,Standard,0.11,922.38,Books,CUST02702,WH042,Returned,2022-12-12,2023-09-26,FedEx,12.8,10.89,True,True,North
TXN000117,West,Rural,8.73,6,Express,0.12,349.3,Clothing,CUST01393,WH038,Delayed,2023-06-02,2023-12-16,UPS,19.4,13.92,True,False,North
TXN000118,East,Urban,1.83,13,Standard,0.1,413.63,Home,CUST01958,WH045,Delayed,2023-01-12,2022-04-07,DHL,28.62,1.92,False,True,East
TXN000119,South,Suburban,30.32,7,Same Day,0.1,317.57,Electronics,CUST02705,WH012,Delivered,2023-05-16,2022-07-11,FedEx,39.42,1.25,False,True,North
TXN000120,South,Rural,8.45,4,Standard,0.12,70.47,Home,CUST00893,WH039,Returned,2023-01-16,2022-12-06,UPS,28.99,1.12,False,False,North
TXN000121,West,Rural,63.97,5,Standard,0.13,176.48,Electronics,CUST01060,WH012,Delivered,2022-11-21,2023-07-14,DHL,19.77,16.25,False,True,West
TXN000122,North,Urban,71.63,5,Standard,0.07,872.84,Electronics,CUST00481,WH005,Delivered,2022-10-01,2022-11-04,FedEx,49.26,18.96,True,False,South
TXN000123,12/05/2023,Rural,67.33,4,Standard,0.14,690.36,Electronics,CUST01317,WH021,Delivered,2022-03-19,2023-07-08,UPS,26.37,12.76,True,False,East
TXN000124,North,Rural,13.05,4,Same Day,0.13,334.22,Clothing,CUST01342,WH009,Returned,2023-05-10,2023-06-05,DHL,11.62,17.87,True,False,North
TXN000125,West,Rural,42.74,2,Express,0.13,549.08,Books,CUST02517,WH001,Delivered,2022-04-22,2022-05-03,FedEx,19.11,4.76,True,True,East
,West,Rural,76.52,11,Express,0.1,259.78,Books,CUST02928,WH002,Returned,2023-07-28,2023-06-17,DHL,15.57,14.86,True,False,South
TXN000127,West,Rural,28.3,11,Standard,0.12,682.9,Clothing,CUST01588,WH034,Delayed,2023-12-27,2022-09-28,DHL,20.21,6.57,False,True,West
TXN000128,East,Rural,27.75,6,Standard,0.14,974.23,Electronics,CUST02543,WH032,Delayed,2023-08-09,2023-03-04,DHL,14.35,3.67,True,True,East
TXN000129,12/05/2023,Urban,21.67,5,Standard,0.08,126.58,Electronics,CUST00506,WH031,Returned,2023-07-30,2023-12-20,FedEx,32.74,11.49,False,False,North
TXN000130,Central,Rural,5.99,10,Same Day,0.13,200.21,Books,CUST01330,WH013,Delivered,2022-10-30,2023-08-09,FedEx,23.5,8.38,True,True,East
TXN000131,South,Urban,88.69,3,Express,0.15,935.07,Home,CUST01440,WH034,Delayed,2022-03-24,2023-11-11,DHL,49.44,16.33,True,True,North
TXN000132,East,Suburban,87.03,6,Express,0.13,242.7,Books,CUST00981,WH003,Delayed,2022-06-09,2023-10-18,UPS,29.79,4.52,False,True,North
TXN000133,North,Suburban,94.78,14,Express,0.06,453.46,Electronics,CUST02235,WH036,Returned,2022-02-15,2023-07-14,Local,16.03,9.23,True,False,East
TXN000134,East,Suburban,96.44,5,Same Day,0.13,279.28,Clothing,CUST02837,WH035,Delayed,2023-10-05,2023-11-10,FedEx,30.9,10.04,False,True,West
TXN000135,West,Urban,3.95,5,Same Day,0.08,799.98,Electronics,CUST02587,WH037,Delayed,2022-04-02,2022-12-23,FedEx,6.47,16.42,False,True,West
TXN000136,North,Rural,87.89,10,Standard,0.06,163.0,Electronics,CUST01185,WH024,Delayed,2022-11-19,2023-10-03,UPS,26.72,7.45,True,False,South
TXN000137,North,Rural,2.83,9,Standard,0.07,864.49,Electronics,CUST01588,WH014,Delivered,2023-04-17,2022-04-13,Local,9.28,9.78,False,True,North
TXN000138,West,Rural,73.55,14,Standard,0.06,944.91,Electronics,CUST00650,WH041,Returned,2022-12-25,2022-08-09,DHL,22.07,4.68,True,False,West
TXN000139,East,Suburban,59.55,11,Standard,0.14,848.95,Books,CUST00460,WH017,Returned,2022-02-09,2023-02-20,UPS,40.98,12.57,True,True,East
TXN000140,South,Rural,18.2,1,Standard,0.07,433.78,Clothing,CUST02086,WH019,Delivered,2022-05-21,2023-11-14,Local,41.59,7.25,False,False,South
TXN000141,West,Suburban,2.34,11,Express,0.11,138.56,Clothing,CUST00707,WH020,Returned,2023-05-30,2023-12-12,UPS,32.21,7.1,False,False,North
TXN000142,East,Suburban,74.6,14,Same Day,0.14,31.89,Clothing,CUST02881,WH033,Delivered,2023-12-27,2023-08-06,UPS,5.28,16.7,False,True,North
TXN000143,West,Rural,71.95,5,Express,0.09,902.72,Clothing,CUST02453,WH009,Delivered,2022-03-04,2022-11-05,FedEx,27.04,15.04,False,False,East
TXN000144,South,Suburban,14.97,12,Standard,0.12,989.8,Home,CUST01322,WH032,Returned,2022-11-28,2022-01-07,Local,29.97,9.97,False,True,South
TXN000145,West,Urban,70.05,4,Express,0.1,856.51,Clothing,CUST03000,WH016,Delayed,2023-12-02,2023-04-02,FedEx,33.79,7.92,True,False,West
TXN000146,North,Rural,90.34,2,Same Day,0.09,23.58,Home,CUST02573,WH024,Delivered,2023-11-15,2022-11-26,FedEx,8.21,19.91,True,False,North
,East,Rural,41.25,4,Standard,0.11,96.65,Electronics,CUST01553,WH025,Delayed,2023-12-20,2023-01-31,DHL,40.44,12.33,True,True,North
TXN000148,South,Urban,74.24,12,Standard,0.05,719.4,Electronics,CUST01839,WH021,Delayed,2023-07-03,2023-10-01,DHL,13.0,16.71,False,True,North
TXN000149,South,Suburban,62.61,3,Standard,0.09,723.85,Home,CUST02469,WH029,Delivered,2023-09-12,2022-07-28,Local,30.36,10.31,False,False,South
TXN000150,East,Suburban,16.91,10,Express,0.06,918.59,Clothing,CUST00285,WH038,Returned,2022-02-07,2022-02-24,FedEx,5.89,11.43,False,True,West
TXN000151,West,Rural,49.19,12,Standard,0.12,722.65,Electronics,CUST02347,WH006,Delivered,2022-09-12,2022-09-05,DHL,25.09,4.44,True,False,South
TXN000152,North,Urban,45.56,11,Same Day,0.13,278.72,Books,CUST02242,WH004,Delivered,2023-05-05,2023-08-28,UPS,36.38,19.93,False,False,East
TXN000153,Central,Suburban,6.91,8,Same Day,0.1,984.78,Clothing,CUST00523,WH019,Delayed,2022-11-21,2023-04-10,FedEx,42.34,9.75,True,True,North
TXN000154,North,Suburban,83.79,4,Express,0.1,120.46,Electronics,CUST01857,WH007,Delayed,2022-10-22,2022-07-29,DHL,17.72,19.33,True,True,East
TXN000155,West,Suburban,35.27,14,Same Day,0.12,443.64,Books,CUST01625,WH042,Returned,2023-10-06,2022-05-23,FedEx,21.07,13.45,True,False,West
TXN000156,West,Suburban,45.72,11,Standard,0.09,209.34,Clothing,CUST02000,WH002,Returned,2023-06-25,2023-08-28,UPS,45.83,12.87,False,False,North
TXN000157,North,Urban,42.73,13,Standard,0.06,593.97,Home,CUST01560,WH028,Delivered,2022-04-14,2022-03-03,UPS,13.2,15.12,True,False,North
TXN000158,East,Urban,17.51,9,Express,0.12,202.02,Clothing,CUST01078,WH020,Returned,2023-04-28,2023-10-19,FedEx,11.82,1.54,False,True,North
TXN000159,East,Rural,77.07,9,Standard,0.13,473.08,Clothing,CUST01973,WH009,Delayed,2022-12-20,2022-06-27,UPS,11.49,9.63,False,True,East
TXN000160,North,Rural,60.73,1,Standard,0.07,632.92,Home,CUST02196,WH021,Returned,2022-06-02,2022-11-23,DHL,15.1,17.16,True,False,South
TXN000161,Central,Suburban,35.12,6,Same Day,0.08,327.64,Home,CUST02368,WH002,Returned,2022-06-13,2023-10-26,FedEx,44.23,17.19,False,True,South
TXN000162,West,Rural,4.48,14,Express,0.15,747.05,Electronics,CUST02390,WH002,Returned,2023-04-29,2022-05-22,Local,10.55,19.7,True,False,South
TXN000163,West,Rural,3.21,11,Standard,0.13,799.2,Home,CUST02895,WH029,Returned,2023-08-03,2023-08-28,UPS,22.9,19.51,True,True,East
TXN000164,West,Suburban,25.33,13,Same Day,0.06,294.61,Clothing,CUST00050,WH013,Returned,2022-10-10,2022-07-27,UPS,39.98,4.35,False,False,South
TXN000165,Central,Urban,16.84,5,Standard,0.14,841.12,Electronics,CUST02004,WH032,Delayed,2022-11-04,2022-09-05,FedEx,10.07,10.53,True,True,North
TXN000166,Central,Urban,69.41,3,Same Day,0.13,930.1,Home,CUST01872,WH041,Delayed,2023-09-07,2022-12-07,FedEx,46.44,10.57,False,False,North
TXN000167,North,Rural,45.51,10,Express,0.13,472.65,Books,CUST00364,WH050,Returned,2023-06-30,2023-07-10,UPS,17.56,4.99,False,False,North
