ProductID,Category,LaunchDate,Cost,Price,Margin,UnitsSold,StockLevel,BundleID,Rating,ReturnRate,SupplierID,WarrantyMonths,IsFeatured,Color,Size,Weight,Material,EcoFriendly,Season
PROD0386,Electronics,2023-12-23,115.17,691.32,576.1500000000001,424,318,BND015,1.6,0.07,SUP0173,6,False,Green,M,3.17,Plastic,True,Winter
PROD0442,Clothing,2023-02-02,225.98,435.87,209.89000000000001,98,663,BND072,4.5,0.27,SUP0037,34,False,Red,M,2.82,Fabric,True,Fall
PROD0786,Electronics,2022-04-13,186.87,408.53,221.65999999999997,361,948,BND042,3.8,0.27,SUP0011,35,True,Green,L,2.18,Metal,True,Fall
PROD0494,Home,2023-06-20,227.08,751.27,524.1899999999999,492,176,BND023,4.4,0.04,SUP0182,31,False,Green,S,0.21,Wood,False,Summer
PROD0613,Clothing,2023-04-11,193.46,902.49,709.03,306,13,BND087,1.9,0.15,SUP0055,20,True,Green,M,1.57,Plastic,True,Winter
PROD0880,Home,2023-01-31,114.92,944.07,829.1500000000001,261,994,BND034,3.4,0.12,SUP0150,30,True,Red,L,1.01,Wood,True,Summer
PROD0265,Clothing,2023-01-26,59.36,708.42,649.06,202,915,BND071,5.0,0.05,SUP0024,26,False,Green,XL,2.16,Plastic,False,Summer
PROD0224,Electronics,2023-06-10,154.61,443.74,289.13,146,688,BND018,4.1,0.07,SUP0133,7,True,Blue,S,4.85,Fabric,True,Fall
PROD0324,Books,2023-11-08,113.82,387.16,273.34000000000003,382,780,BND032,3.6,0.23,SUP0045,13,True,Blue,M,1.26,Fabric,True,Spring
PROD0913,Electronics,2023-01-29,49.28,345.56,296.28,402,535,BND083,2.2,0.1,SUP0112,14,True,Red,XL,0.32,Plastic,True,Spring
PROD0936,Clothing,2023-03-19,124.37,260.02,135.64999999999998,472,434,BND079,3.5,0.21,SUP0116,8,True,White,L,0.29,Metal,True,Spring
PROD0254,Books,2022-04-30,177.28,107.39,-69.89,155,203,BND095,2.0,0.17,SUP0038,9,False,Green,L,1.69,Plastic,False,Spring
PROD0941,Books,2022-04-08,216.71,676.93,460.2199999999999,19,17,BND049,5.0,0.18,SUP0026,12,True,Blue,M,0.16,Plastic,True,Winter
PROD0169,Books,2022-12-16,68.29,714.52,646.23,466,728,BND098,3.5,0.11,SUP0186,24,False,Red,M,1.59,Metal,True,Winter
PROD0958,Clothing,2023-06-11,242.49,364.98,122.49000000000001,233,53,BND005,2.9,0.12,SUP0127,3,False,White,XL,2.91,Wood,False,Fall
PROD0177,Toys,2023-01-03,100.87,694.86,593.99,449,490,BND044,4.6,0.07,SUP0081,27,True,White,M,2.76,Plastic,True,Spring
PROD0179,Books,2023-11-04,79.45,887.99,808.54,160,480,BND039,3.2,0.18,SUP0042,14,True,Red,M,2.15,Metal,True,Winter
PROD0709,Books,2022-03-24,102.71,588.38,485.67,268,588,BND091,3.7,0.01,SUP0046,16,False,Green,S,1.71,Plastic,True,Fall
PROD0860,Books,2022-05-22,224.5,965.47,740.97,286,643,BND001,1.5,0.27,SUP0131,4,True,Green,XL,4.85,Wood,False,Winter
PROD0056,Toys,2023-03-17,195.64,273.02,77.38,70,649,BND016,2.4,0.05,SUP0109,14,True,Blue,XL,0.3,Fabric,False,Summer
PROD0253,Home,2022-01-01,156.35,271.48,115.13000000000002,436,983,BND082,1.8,0.27,SUP0083,27,False,White,S,2.33,Wood,True,Winter
PROD0312,Electronics,2022-12-05,117.25,663.09,545.84,328,41,BND004,2.4,0.27,SUP0120,22,False,White,L,3.77,Fabric,False,Spring
PROD0733,Home,2022-11-02,240.52,657.16,416.64,81,460,BND027,2.4,0.15,SUP0137,9,True,White,S,2.13,Plastic,False,Winter
PROD0383,Electronics,2023-09-30,29.32,549.25,519.93,49,523,BND002,1.1,0.22,SUP0179,17,False,Green,L,2.3,Wood,True,Spring
PROD0707,Clothing,2023-10-04,49.4,192.08,142.68,441,942,BND064,1.6,0.07,SUP0085,27,True,Green,L,1.52,Plastic,True,Spring
PROD0427,Toys,2022-04-20,23.56,949.13,925.57,214,928,BND037,2.6,0.15,SUP0111,17,True,Blue,L,1.45,Metal,True,Winter
PROD0179,Electronics,2022-11-04,107.12,605.31,498.18999999999994,491,63,BND093,2.4,0.07,SUP0031,1,True,Red,XL,1.46,Wood,False,Fall
PROD0359,Home,2023-06-14,233.7,818.03,584.3299999999999,405,728,BND056,2.4,0.09,SUP0129,5,False,Green,XL,3.88,Fabric,False,Winter
PROD0379,Home,2023-08-09,294.59,772.94,478.3500000000001,4,981,BND033,2.2,0.02,SUP0170,24,False,Red,M,3.95,Metal,True,Summer
PROD0722,Home,2023-05-15,266.63,42.11,-224.51999999999998,88,638,BND097,4.8,0.11,SUP0196,12,False,Black,S,2.79,Plastic,True,Spring
PROD0677,Home,2023-12-09,91.2,803.71,712.51,81,158,BND073,3.7,0.08,SUP0056,5,True,White,M,3.04,Wood,True,Spring
PROD0991,Books,2023-04-15,205.15,263.26,58.109999999999985,96,33,BND089,4.8,0.07,SUP0037,9,True,Red,XL,1.45,Metal,False,Spring
PROD0518,Books,2023-09-18,100.52,911.79,811.27,220,367,BND058,4.9,0.26,SUP0023,5,False,Blue,XL,2.85,Fabric,True,Summer
PROD0336,Electronics,2023-01-07,68.44,977.04,908.5999999999999,318,128,BND038,1.8,0.27,SUP0129,31,False,White,M,0.47,Metal,True,Winter
PROD0083,Books,2023-02-23,15.8,603.85,588.0500000000001,290,284,BND090,2.0,0.16,SUP0198,5,False,Black,L,2.46,Wood,False,Fall
PROD0846,,2022-12-19,99.36,443.88,344.52,12,736,BND097,2.0,0.16,SUP0084,30,False,Black,S,3.42,Metal,True,Spring
PROD0999,Books,2023-02-21,72.91,997.91,925.0,6,732,BND047,4.6,0.15,SUP0191,27,True,Black,S,2.39,Wood,False,Summer
PROD0698,Clothing,2023-06-14,35.77,88.64,52.87,406,58,BND048,4.5,0.14,SUP0016,2,True,White,L,4.61,Plastic,False,Fall
PROD0524,Clothing,2022-04-24,298.65,504.04,205.39000000000004,488,961,BND020,3.8,0.1,SUP0109,1,False,Blue,L,4.32,Wood,False,Winter
PROD0609,Toys,2023-08-01,14.01,221.99,207.98000000000002,461,437,BND076,1.3,0.09,SUP0128,5,True,Red,M,3.9,Wood,False,Winter
PROD0560,Books,2022-07-24,203.18,980.55,777.3699999999999,236,357,BND089,4.1,0.14,SUP0098,14,False,Green,XL,1.49,Plastic,True,Summer
PROD0237,Electronics,2022-04-24,173.01,841.65,668.64,176,540,BND067,4.8,0.2,SUP0191,27,False,White,S,3.52,Fabric,True,Spring
PROD0711,Electronics,2022-05-25,95.53,816.53,721.0,176,716,BND030,1.9,0.14,SUP0176,35,True,Green,XL,3.43,Plastic,True,Summer
PROD0419,Books,2022-05-02,204.78,858.71,653.9300000000001,359,508,BND098,2.3,0.08,SUP0024,9,True,Blue,L,2.78,Fabric,False,Spring
PROD0668,Toys,2023-07-01,172.26,935.59,763.33,374,373,BND039,3.5,0.2,SUP0124,23,True,White,M,3.97,Plastic,True,Fall
PROD0215,Toys,2023-05-29,160.74,941.67,780.93,265,157,BND024,3.1,0.21,SUP0166,26,True,Green,XL,1.23,Fabric,False,Fall
PROD0918,Home,2023-01-04,287.63,425.45,137.82,320,446,BND080,3.9,0.26,SUP0068,32,True,Red,M,1.37,Metal,True,Spring
PROD0069,Home,2023-12-23,157.47,316.86,159.39000000000001,132,375,BND060,3.1,0.19,SUP0151,22,False,White,M,4.78,Plastic,True,Winter
PROD0453,Books,2023-06-15,247.06,691.31,444.24999999999994,250,865,BND027,1.1,0.18,SUP0089,23,True,Blue,L,1.07,Plastic,False,Spring
PROD0575,Electronics,2023-10-26,159.45,458.43,298.98,422,8,BND067,4.8,0.25,SUP0013,15,True,Green,M,4.82,Fabric,False,Winter
PROD0686,Clothing,2022-03-19,258.34,231.54,-26.799999999999983,279,282,BND010,3.9,0.13,SUP0162,34,True,Red,S,1.08,Plastic,True,Spring
PROD0188,Home,2023-09-08,78.48,727.25,648.77,201,838,BND001,4.8,0.06,SUP0094,19,True,Black,S,2.17,Metal,False,Summer
PROD0750,Books,2022-03-29,212.01,612.44,400.43000000000006,33,74,BND050,3.5,0.14,SUP0009,20,False,White,XL,0.61,Metal,False,Spring
PROD0364,Toys,2023-09-28,48.84,248.89,200.04999999999998,177,944,BND071,4.6,0.22,SUP0068,1,True,Black,M,1.98,Wood,False,Summer
PROD0837,Home,2022-06-19,167.72,850.54,682.8199999999999,222,161,BND062,4.9,0.04,SUP0052,8,True,White,S,0.5,Metal,True,Spring
PROD0681,Clothing,2022-03-07,275.5,534.38,258.88,360,904,BND042,3.7,0.14,SUP0065,4,True,White,M,4.62,Metal,True,Spring
PROD0174,Electronics,2022-10-06,16.0,825.2,809.2,142,178,BND070,3.1,0.0,SUP0138,23,False,Red,XL,1.55,Plastic,False,Fall
PROD0938,Electronics,2023-05-22,77.11,124.35,47.239999999999995,260,545,BND012,2.9,0.19,SUP0070,24,False,Black,S,0.71,Fabric,True,Winter
PROD0104,Electronics,2022-01-20,296.95,853.19,556.24,449,962,BND037,1.1,0.12,SUP0170,35,True,Blue,XL,2.41,Fabric,False,Summer
PROD0282,Books,2022-08-30,289.03,798.71,509.68000000000006,432,775,BND097,3.1,0.09,SUP0112,4,True,Green,L,4.03,Metal,True,Fall
PROD0607,Books,2023-07-17,61.62,766.24,704.62,319,763,BND038,2.9,0.0,SUP0177,19,True,Blue,L,3.5,Metal,True,Summer
PROD0203,,2023-04-08,106.34,367.91,261.57000000000005,327,381,BND045,1.5,0.0,SUP0049,8,True,Black,L,0.31,Metal,True,Spring
PROD0251,Clothing,2022-04-24,297.31,598.41,301.09999999999997,109,105,BND051,4.8,0.1,SUP0163,4,False,Green,M,1.71,Fabric,False,Winter
PROD0256,Clothing,2022-07-23,188.28,348.31,160.03,16,907,BND083,2.2,0.05,SUP0092,0,False,Green,XL,1.01,Plastic,True,Spring
PROD0895,Clothing,2023-07-18,75.92,411.68,335.76,303,286,BND053,4.8,0.03,SUP0059,7,False,Red,L,0.11,Plastic,False,Winter
PROD0007,Toys,2023-12-04,200.89,370.22,169.33000000000004,342,412,BND014,4.8,0.18,SUP0180,18,False,Green,S,2.47,Plastic,True,Summer
PROD0764,Toys,2023-03-30,170.12,264.38,94.25999999999999,154,50,BND019,1.5,0.29,SUP0087,15,False,Green,XL,2.41,Metal,False,Fall
PROD0602,Clothing,2022-03-26,208.41,479.41,271.0,407,998,BND071,1.6,0.22,SUP0183,23,True,Black,XL,2.57,Fabric,True,Fall
PROD0259,Home,2022-09-03,162.53,176.45,13.919999999999987,36,194,BND086,4.7,0.2,SUP0121,4,True,White,L,2.66,Wood,True,Spring
PROD0834,Home,2023-11-11,288.87,274.81,-14.060000000000002,214,613,BND074,4.0,0.29,SUP0116,28,False,Black,L,0.53,Metal,True,Fall
PROD0734,Clothing,2023-01-24,293.3,811.8,518.5,388,440,BND033,4.1,0.16,SUP0086,16,True,Red,XL,4.67,Metal,True,Summer
PROD0214,Clothing,2023-12-20,89.44,475.96,386.52,252,350,BND082,3.8,0.17,SUP0019,29,False,Black,S,0.33,Fabric,False,Summer
PROD0883,Electronics,2023-07-21,163.67,32.82,-130.85,251,205,BND088,2.2,0.06,SUP0019,19,True,Green,S,2.13,Wood,True,Fall
PROD0359,Home,2022-04-15,107.38,201.07,93.69,278,597,BND079,3.6,0.16,SUP0002,7,False,Green,XL,4.74,Metal,False,Summer
PROD0991,Books,2023-06-15,14.48,536.35,521.87,95,859,BND018,1.0,0.19,SUP0077,17,False,Blue,XL,1.01,Fabric,False,Spring
PROD0226,Home,2023-08-02,39.35,898.44,859.09,397,374,BND023,2.1,0.29,SUP0076,24,False,White,M,1.07,Metal,True,Fall
PROD0027,Electronics,2022-08-06,160.21,798.97,638.76,200,801,BND088,2.6,0.1,SUP0089,25,False,Black,M,4.57,Metal,True,Summer
PROD0381,Toys,2022-02-05,129.05,799.85,670.8,248,522,BND024,2.9,0.02,SUP0136,33,True,Black,XL,4.19,Plastic,False,Spring
PROD0365,,2023-05-10,209.83,65.13,-144.70000000000002,57,466,BND032,1.2,0.26,SUP0083,10,True,Blue,M,4.81,Wood,False,Summer
PROD0763,Home,2023-10-08,129.96,148.32,18.359999999999985,420,976,BND001,1.4,0.17,SUP0193,32,False,Red,L,1.27,Metal,False,Summer
PROD0241,Books,2022-01-01,14.25,483.21,468.96,387,979,BND049,2.9,0.26,SUP0022,28,False,White,S,4.62,Plastic,True,Fall
PROD0133,,2022-12-20,119.38,279.82,160.44,372,292,BND036,3.2,0.06,SUP0192,22,False,Red,M,3.53,Metal,True,Fall
PROD0338,Books,2022-02-14,18.73,144.94,126.21,421,619,BND022,1.1,0.04,SUP0031,33,False,Green,S,1.94,Metal,True,Winter
PROD0831,Clothing,2023-02-07,210.41,693.97,483.56000000000006,50,221,BND083,4.7,0.15,SUP0033,15,True,Green,L,4.93,Fabric,True,Summer
PROD0228,Clothing,2022-12-06,169.12,119.17,-49.95,158,291,BND063,1.6,0.21,SUP0195,19,False,White,M,3.94,Metal,False,Fall
PROD0246,Books,2023-11-18,259.61,633.82,374.21000000000004,175,821,BND052,2.6,0.04,SUP0081,2,True,Blue,M,4.35,Plastic,True,Spring
PROD0112,Electronics,2022-08-26,244.67,516.29,271.62,238,214,BND002,1.6,0.28,SUP0178,19,False,Blue,XL,3.95,Fabric,True,Winter
PROD0278,Clothing,2022-04-26,194.29,604.76,410.47,234,504,BND066,4.6,0.25,SUP0130,32,False,Black,XL,0.65,Metal,False,Fall
PROD0809,Books,2023-11-05,261.6,222.68,-38.920000000000016,14,882,BND057,4.7,0.07,SUP0058,19,True,Red,S,1.79,Metal,True,Winter
PROD0054,Clothing,2023-12-16,19.38,712.09,692.71,469,307,BND041,2.4,0.29,SUP0175,1,False,Blue,L,0.71,Plastic,True,Spring
PROD0989,Home,2022-09-17,41.39,185.75,144.36,182,667,BND013,2.9,0.14,SUP0050,34,True,Blue,XL,3.27,Metal,False,Summer
PROD0662,Clothing,2022-08-06,17.91,340.39,322.47999999999996,426,141,BND066,1.0,0.21,SUP0034,6,True,Black,XL,4.22,Metal,True,Fall
PROD0232,Clothing,2022-05-17,77.56,508.88,431.32,66,36,BND028,2.1,0.23,SUP0158,12,True,Green,S,3.32,Fabric,True,Winter
PROD0445,Electronics,2023-11-02,105.49,484.01,378.52,129,349,BND081,1.8,0.27,SUP0154,27,False,Blue,M,0.92,Plastic,False,Fall
PROD0355,Electronics,2022-03-28,146.68,226.99,80.31,443,674,BND013,2.1,0.05,SUP0164,17,False,Black,M,3.66,Plastic,True,Winter
PROD0898,Home,2022-04-15,57.31,655.86,598.55,387,222,BND086,1.8,0.15,SUP0040,8,True,Red,M,4.68,Metal,False,Fall
PROD0756,Toys,2022-10-25,244.56,398.14,153.57999999999998,217,577,BND024,2.4,0.11,SUP0047,23,True,Black,L,2.36,Plastic,False,Spring
PROD0606,Clothing,2022-02-10,59.17,931.08,871.9100000000001,156,277,BND045,1.9,0.11,SUP0175,17,False,Black,M,3.04,Metal,False,Fall
PROD0782,Electronics,2023-07-15,177.11,459.36,282.25,348,981,BND094,4.7,0.22,SUP0106,18,True,Blue,M,3.03,Wood,True,Fall
PROD0014,Electronics,2023-06-20,170.62,850.3,679.68,399,514,BND080,2.3,0.19,SUP0120,32,False,Red,M,0.57,Metal,False,Spring
PROD0577,Books,2022-10-12,154.03,817.08,663.0500000000001,241,234,BND002,4.9,0.2,SUP0091,31,True,Black,S,3.05,Fabric,False,Summer
PROD0973,Home,2023-04-05,284.23,642.88,358.65,104,62,BND007,4.9,0.13,SUP0033,31,True,Green,M,2.94,Wood,True,Fall
PROD0230,Clothing,2022-04-17,148.5,676.81,528.31,165,349,BND001,3.3,0.02,SUP0116,34,True,Blue,M,0.38,Wood,True,Spring
PROD0701,Toys,2023-07-14,177.64,197.74,20.100000000000023,453,431,BND019,1.4,0.27,SUP0037,29,False,Red,XL,3.18,Metal,False,Winter
PROD0672,Clothing,2023-11-01,193.95,220.81,26.860000000000014,175,682,BND058,4.4,0.26,SUP0110,11,True,Green,XL,3.88,Metal,False,Winter
PROD0503,Books,2023-04-03,188.61,222.6,33.98999999999998,477,258,BND056,4.6,0.22,SUP0112,33,False,Red,L,3.87,Plastic,False,Summer
PROD0973,Toys,2022-01-01,217.7,469.43,251.73000000000002,333,522,BND030,3.0,0.08,SUP0153,22,True,Black,M,0.5,Plastic,True,Spring
PROD0325,Toys,2022-12-21,228.84,204.98,-23.860000000000014,356,934,BND056,2.5,0.16,SUP0083,31,False,White,S,0.46,Wood,True,Summer
PROD0037,Toys,2022-03-02,267.11,503.5,236.39,481,720,BND060,2.1,0.22,SUP0195,0,False,Red,S,1.07,Plastic,True,Fall
PROD0849,Electronics,2022-06-20,25.91,851.76,825.85,328,176,BND047,4.2,0.08,SUP0075,18,False,White,XL,3.81,Metal,False,Summer
PROD0384,Home,2022-09-02,232.98,898.53,665.55,82,700,BND081,4.1,0.19,SUP0086,22,False,Green,L,3.92,Wood,True,Spring
PROD0161,Home,2022-01-21,139.46,288.08,148.61999999999998,311,571,BND034,2.7,0.07,SUP0174,6,True,Green,L,3.45,Fabric,True,Winter
PROD0640,Toys,2023-04-07,100.91,411.76,310.85,65,871,BND049,3.3,0.14,SUP0093,9,True,Black,S,1.38,Fabric,False,Summer
PROD0775,Toys,2022-12-17,41.43,608.83,567.4000000000001,300,725,BND005,3.1,0.25,SUP0132,23,False,White,L,2.18,Fabric,False,Summer
PROD0799,Books,2023-12-11,258.19,894.81,636.6199999999999,177,598,BND097,1.9,0.15,SUP0169,5,True,White,M,3.57,Fabric,False,Winter
PROD0417,Books,2023-04-27,287.51,523.15,235.64,498,114,BND095,2.9,0.21,SUP0123,5,True,Black,L,3.45,Wood,False,Spring
PROD0494,Books,2022-09-01,140.61,608.27,467.65999999999997,34,213,BND030,2.6,0.2,SUP0101,19,False,Green,M,0.22,Wood,False,Spring
PROD0937,Electronics,2022-11-14,269.04,176.18,-92.86000000000001,15,233,BND100,1.1,0.28,SUP0054,7,False,Green,S,2.73,Plastic,True,Summer
PROD0749,Home,2023-06-18,63.27,968.97,905.7,310,106,BND038,2.8,0.04,SUP0130,14,False,White,S,0.31,Plastic,True,Summer
PROD0014,Clothing,2023-10-15,227.28,362.6,135.32000000000002,294,814,BND090,3.8,0.03,SUP0166,18,True,White,XL,3.36,Plastic,False,Spring
PROD0209,Electronics,2022-05-18,217.2,220.1,2.9000000000000057,366,619,BND100,3.7,0.01,SUP0072,34,True,Blue,L,3.51,Wood,False,Summer
PROD0813,Toys,2023-10-23,94.9,100.44,5.539999999999992,268,619,BND096,1.8,0.2,SUP0197,0,False,Green,S,0.33,Metal,False,Winter
PROD0997,Home,2023-05-04,100.75,170.38,69.63,32,639,BND039,2.4,0.01,SUP0123,5,True,Red,S,3.43,Fabric,True,Spring
PROD0504,Electronics,2023-04-21,151.63,182.83,31.200000000000017,368,298,BND085,2.4,0.29,SUP0063,25,True,Green,M,1.72,Metal,True,Fall
PROD0728,Home,2022-04-18,75.43,796.59,721.1600000000001,121,217,BND057,1.4,0.02,SUP0054,26,True,Blue,S,2.39,Plastic,True,Spring
PROD0139,Books,2022-07-28,230.45,691.5,461.05,443,55,BND055,4.9,0.07,SUP0047,26,False,Black,M,0.34,Wood,True,Fall
PROD0673,Toys,2023-07-01,280.18,838.81,558.6299999999999,453,836,BND013,4.2,0.19,SUP0114,9,True,Green,XL,1.16,Wood,False,Fall
PROD0997,Home,2023-06-23,210.48,247.91,37.43000000000001,89,370,BND042,3.2,0.12,SUP0152,8,True,Green,S,3.81,Fabric,True,Fall
PROD0164,Home,2022-10-11,33.21,572.98,539.77,471,319,BND053,3.3,0.19,SUP0085,30,True,Green,L,3.67,Metal,False,Winter
PROD0073,Books,2023-07-10,151.89,686.37,534.48,110,922,BND098,3.3,0.12,SUP0022,9,False,Blue,L,2.37,Wood,False,Winter
PROD0221,Books,2022-12-25,116.87,368.16,251.29000000000002,309,459,BND014,1.8,0.04,SUP0027,5,False,Red,S,2.63,Plastic,True,Winter
PROD0755,Books,2023-02-15,74.08,717.64,643.56,85,373,BND031,1.1,0.16,SUP0060,12,True,Black,M,0.37,Wood,True,Summer
PROD0815,Home,2022-10-18,108.2,423.99,315.79,321,892,BND056,3.5,0.29,SUP0154,10,False,Black,S,4.55,Wood,False,Summer
PROD0299,Clothing,2023-11-14,10.53,185.1,174.57,21,559,BND046,2.5,0.02,SUP0166,6,False,Red,XL,2.37,Plastic,False,Spring
PROD0800,Clothing,2022-11-13,103.33,651.49,548.16,326,827,BND085,3.8,0.26,SUP0193,4,False,Blue,XL,4.38,Plastic,False,Summer
PROD0597,Home,2023-08-14,288.57,220.88,-67.69,27,419,BND078,3.5,0.26,SUP0181,15,True,White,XL,4.1,Plastic,True,Spring
PROD0826,Home,2023-05-16,219.5,690.65,471.15,302,405,BND096,1.2,0.27,SUP0150,2,True,Blue,L,4.95,Wood,False,Fall
PROD0946,Home,2022-08-27,152.78,609.19,456.4100000000001,206,629,BND065,2.3,0.28,SUP0178,26,False,Green,M,0.84,Metal,True,Spring
PROD0178,Books,2023-03-02,249.08,217.53,-31.55000000000001,13,559,BND047,3.4,0.16,SUP0056,22,True,White,M,2.51,Metal,True,Summer
PROD0353,,2022-07-24,213.35,351.67,138.32000000000002,286,94,BND047,4.0,0.29,SUP0022,23,True,White,S,0.48,Metal,False,Winter
PROD0196,Clothing,2022-07-10,239.16,719.16,480.0,293,882,BND040,4.9,0.2,SUP0074,32,True,White,S,0.82,Fabric,False,Spring
PROD0287,Electronics,2023-01-09,284.48,724.37,439.89,406,240,BND086,4.5,0.26,SUP0025,26,True,Green,S,3.42,Fabric,True,Spring
PROD0122,,2023-02-15,152.74,77.11,-75.63000000000001,59,580,BND018,2.9,0.12,SUP0112,15,True,Black,M,1.58,Wood,False,Winter
PROD0387,Clothing,2023-05-18,224.91,961.41,736.5,179,83,BND015,3.8,0.2,SUP0066,22,False,Green,M,2.78,Wood,False,Winter
PROD0257,Toys,2023-12-20,193.53,941.41,747.88,454,481,BND064,3.5,0.06,SUP0079,10,False,Red,L,3.15,Fabric,True,Spring
PROD0745,Clothing,2023-03-13,254.96,505.02,250.05999999999997,410,436,BND001,1.3,0.17,SUP0075,22,True,Black,M,2.85,Fabric,False,Summer
PROD0364,Clothing,2023-10-31,284.43,470.41,185.98000000000002,215,781,BND098,4.5,0.01,SUP0200,35,False,White,S,4.05,Metal,False,Fall
PROD0142,Electronics,2022-04-27,162.29,487.46,325.16999999999996,256,610,BND023,1.0,0.27,SUP0026,10,False,Black,S,2.46,Metal,False,Winter
PROD0318,Clothing,2023-10-17,79.21,457.54,378.33000000000004,472,437,BND056,2.3,0.17,SUP0079,12,False,Blue,S,3.83,Fabric,False,Spring
PROD0131,Home,2022-01-01,285.02,25.37,-259.65,338,704,BND050,2.8,0.08,SUP0151,19,True,White,M,1.34,Metal,False,Spring
PROD0334,Electronics,2022-12-04,259.17,85.65,-173.52,406,929,BND037,1.6,0.15,SUP0195,6,False,Red,XL,4.31,Plastic,True,Spring
PROD0190,Books,2022-12-29,131.65,383.42,251.77,391,560,BND050,4.4,0.14,SUP0033,5,True,Blue,XL,4.95,Fabric,True,Fall
PROD0549,Home,2023-08-03,183.3,252.33,69.03,490,911,BND016,2.9,0.03,SUP0127,30,True,Red,L,2.46,Wood,True,Winter
PROD0153,Clothing,2023-07-13,121.28,676.08,554.8000000000001,234,299,BND048,4.8,0.18,SUP0161,31,False,Green,XL,3.12,Wood,False,Summer
PROD0129,Clothing,2023-01-10,227.59,598.87,371.28,30,215,BND007,2.8,0.27,SUP0123,25,False,Green,S,1.95,Fabric,False,Summer
PROD0384,Clothing,2023-10-17,200.09,99.9,-100.19,434,951,BND017,4.1,0.12,SUP0007,17,True,Green,M,0.39,Metal,False,Summer
PROD0810,Home,2022-01-22,231.1,385.32,154.22,357,354,BND054,3.2,0.21,SUP0139,23,False,Blue,L,0.65,Plastic,True,Fall
PROD0719,Electronics,2022-04-08,218.02,923.74,705.72,93,655,BND062,3.8,0.27,SUP0033,14,False,Green,XL,3.81,Plastic,False,Winter
