CustomerID,LastPurchaseDate,ChurnFlag,LoyaltyTier,Region,TotalOrders,AvgOrderValue,DiscountRate,CustomerAge,SignupDate,EmailOptIn,MobileAppUser,ReferralSource,SupportTickets,AvgResponseTime,SatisfactionScore,IsPremiumMember,LastLogin,CartAbandonRate,ReviewCount
CUST00456,2022-07-27,0,Gold,South,14,425.49,0.11,59,2022-01-22,False,False,Email,1,13.5,3.6,False,2022-09-27,0.36,48
CUST01276,2022-02-01,1,Gold,Central,47,131.74,0.02,46,2022-05-21,True,True,Friend,9,4.4,1.7,False,2022-12-18,0.21,56
CUST01017,2023-06-20,0,Silver,East,36,240.68,0.28,38,2022-05-12,False,False,Friend,4,21.6,4.7,True,2022-10-30,0.22,19
CUST02344,2022-02-13,0,Gold,North,8,324.73,0.25,24,2022-05-15,False,True,Social Media,6,9.5,3.2,True,2022-08-19,0.15,20
CUST02768,2022-07-04,0,Bronze,West,47,489.65,0.09,54,2022-07-29,False,True,Friend,4,37.9,4.3,True,2022-10-22,0.38,87
CUST00338,2023-09-19,0,Platinum,Central,22,347.69,0.29,62,2022-03-11,False,True,Search,7,6.4,4.2,False,2023-05-31,0.17,31
CUST00879,2023-12-05,0,Bronze,East,4,450.86,0.09,58,2022-10-11,False,True,Social Media,9,23.7,3.2,False,2023-11-08,0.17,78
CUST01077,2022-12-19,1,Platinum,Central,35,426.13,0.13,26,2023-06-17,False,True,Email,1,4.9,4.3,True,2023-03-23,0.4,55
CUST00792,2022-06-17,0,Platinum,East,8,299.39,0.23,64,2023-02-14,True,True,Social Media,5,43.2,4.5,True,2022-12-05,0.18,44
CUST02265,2023-05-11,1,Silver,South,34,448.95,0.09,53,2022-09-13,False,False,Social Media,9,15.5,4.3,False,2022-11-15,0.0,21
CUST00764,2022-11-21,0,Gold,East,22,201.16,0.1,18,2023-10-27,True,True,Email,5,30.0,3.5,False,2022-06-19,0.24,37
CUST02236,2022-07-30,0,Platinum,South,25,202.06,0.12,48,2022-11-29,True,True,Search,3,35.3,3.4,False,2022-01-07,0.06,35
CUST00380,2022-08-05,0,Silver,South,25,394.86,0.14,37,2022-03-26,False,True,Friend,0,2.5,2.9,True,2022-01-22,0.49,15
CUST00493,2022-06-14,0,Gold,North,40,84.58,0.04,45,2022-07-07,False,True,Search,5,18.9,1.3,False,2023-04-18,0.47,67
CUST01181,2023-11-11,0,Gold,East,40,166.8,0.01,63,2022-02-15,True,True,Email,8,14.3,2.9,True,2023-12-01,0.45,71
CUST02063,2022-08-03,1,Platinum,West,17,312.11,0.28,36,2022-08-12,True,False,Social Media,0,26.7,3.5,True,2022-02-21,0.44,96
CUST00065,2023-04-03,1,Gold,West,16,221.63,0.11,18,2023-12-24,True,True,Search,5,37.2,2.8,False,2022-07-07,0.45,87
CUST02569,2023-01-13,1,Bronze,East,48,471.55,0.03,46,2023-12-07,False,True,Email,3,7.1,2.7,True,2022-09-29,0.36,13
CUST01368,2022-07-02,1,Gold,North,48,480.08,0.23,27,2023-11-07,False,False,Friend,8,23.3,1.9,False,2023-09-16,0.02,87
CUST01153,2022-10-04,1,Bronze,West,39,261.24,0.09,53,2023-11-26,True,False,Search,8,7.1,2.5,False,2022-04-19,0.45,15
CUST02028,2023-01-24,1,Gold,Central,15,278.75,0.05,40,2022-09-11,True,True,Friend,6,38.1,1.8,False,2023-05-01,0.08,41
CUST02696,2022-03-01,1,Platinum,West,17,367.82,0.29,35,2022-11-30,False,False,Email,0,37.9,1.3,True,2022-02-25,0.12,93
CUST01496,2023-10-06,0,Platinum,North,35,239.49,0.28,46,2023-07-04,True,False,Search,2,16.5,3.9,True,2022-06-01,0.42,86
CUST01163,2023-12-14,1,Silver,South,33,111.25,0.03,45,2023-12-09,False,False,Email,0,16.4,3.8,True,2022-07-20,0.31,14
CUST01523,2023-10-20,0,Bronze,South,40,378.55,0.27,61,2023-04-07,False,False,Friend,4,29.2,3.1,False,2022-06-05,0.2,21
CUST02641,2022-11-17,0,Bronze,South,39,374.14,0.27,24,2022-02-04,False,False,Search,6,47.9,1.3,True,2022-05-10,0.41,39
CUST00392,2022-09-19,1,Platinum,North,18,137.59,0.19,48,2022-08-20,False,True,Email,4,47.1,3.5,True,2023-03-15,0.17,36
CUST01699,2022-03-23,0,Platinum,South,30,419.8,0.16,55,2023-10-19,True,False,Social Media,2,15.8,2.1,False,2022-10-29,0.21,81
CUST00419,2023-09-21,0,Platinum,South,23,314.55,0.07,58,2022-04-04,True,True,Email,4,40.0,4.8,True,2023-11-10,0.01,76
CUST02337,2023-11-03,1,Bronze,North,37,133.42,0.04,19,2024-01-01,True,False,Social Media,8,15.8,1.2,False,2023-05-09,0.38,83
CUST00379,2023-01-15,0,Silver,Central,47,332.98,0.18,32,2023-01-03,False,False,Email,2,25.0,1.0,False,2022-06-08,0.09,33
CUST01797,2022-08-29,1,Bronze,West,7,132.13,0.25,39,2022-07-24,False,False,Social Media,9,2.5,4.3,True,2022-01-15,0.09,67
CUST02279,2023-12-05,0,Platinum,North,10,147.31,0.21,62,2022-02-18,True,True,Friend,5,45.2,1.9,False,2022-04-17,0.03,3
CUST02089,2023-08-07,1,Silver,North,16,427.04,0.05,28,2022-10-08,True,True,Email,1,35.5,3.7,False,2022-09-26,0.31,8
CUST02183,2023-07-10,0,Gold,East,28,466.16,0.09,36,2022-08-12,True,False,Social Media,3,41.7,2.4,True,2023-10-10,0.15,75
CUST00201,2023-02-08,1,Gold,South,23,143.3,0.16,23,2022-07-08,False,True,Email,6,27.2,4.3,False,2022-03-21,0.13,50
CUST01864,2023-07-25,0,Platinum,Central,34,465.46,0.19,26,2022-01-29,True,False,Friend,8,4.1,4.4,True,2023-10-23,0.16,21
CUST00780,2023-06-16,1,Silver,East,18,134.62,0.02,61,2022-05-16,False,False,Search,3,21.6,4.8,True,2022-06-07,0.28,95
CUST02978,2022-04-26,0,Platinum,Central,47,76.29,0.18,46,2023-04-05,False,False,Search,9,18.3,2.5,True,2023-02-12,0.48,12
CUST00503,2022-01-31,0,Bronze,South,23,47.95,0.22,60,2022-03-21,False,False,Search,2,25.2,1.0,True,2023-09-20,0.45,38
CUST02455,2023-06-07,1,Bronze,South,20,136.21,0.05,20,2023-04-20,False,True,Search,6,10.9,1.6,False,2022-10-19,0.01,51
CUST01752,2023-05-13,0,Silver,South,31,204.92,0.07,67,2022-04-16,False,True,Friend,1,22.2,2.2,True,2022-03-02,0.15,59
CUST00805,2022-06-30,1,Platinum,West,14,465.22,0.08,62,2022-09-18,True,False,Friend,3,2.4,4.2,True,2022-05-27,0.2,6
CUST02147,2023-12-26,0,Platinum,Central,23,136.24,0.28,30,2022-01-04,False,True,Friend,4,8.0,4.6,True,2022-07-26,0.0,45
CUST02732,2023-01-03,0,Gold,Central,2,195.42,0.12,64,2023-04-03,False,False,Email,2,42.0,1.8,True,2022-07-23,0.47,57
CUST01896,2022-02-26,1,Silver,East,29,372.39,0.16,68,2023-03-04,True,False,Friend,4,18.8,2.6,True,2023-06-28,0.24,22
CUST02774,2023-05-23,0,Platinum,North,9,165.0,0.22,64,2022-04-29,False,False,Search,1,21.2,3.3,True,2022-03-11,0.29,63
CUST01571,2023-12-05,1,Bronze,South,33,348.5,0.11,32,2022-11-21,True,True,Email,7,17.8,2.1,True,2023-01-23,0.09,13
CUST00961,2022-08-10,0,Platinum,South,48,227.4,0.03,22,2023-01-12,False,True,Friend,4,30.2,2.4,False,2022-04-29,0.17,38
CUST02661,2022-11-22,0,Platinum,East,44,114.29,0.2,22,2022-02-09,True,False,Social Media,7,1.2,4.1,False,2023-06-02,0.37,16
CUST01486,2023-12-05,0,Bronze,Central,12,372.35,0.2,19,2022-07-28,True,True,Friend,2,45.6,1.7,True,2022-10-15,0.0,6
CUST02691,2022-07-26,0,Bronze,West,19,32.98,0.08,67,2022-03-31,False,False,Search,1,27.0,3.2,True,2023-08-02,0.07,47
CUST01029,2022-01-09,1,Platinum,Central,42,160.32,0.01,55,2023-05-31,False,True,Search,8,18.9,3.3,True,2022-02-20,0.02,40
CUST00503,2023-10-18,1,Bronze,West,20,190.97,0.2,67,2022-01-21,False,False,Search,4,41.6,1.6,False,2023-07-03,0.22,59
CUST02815,2022-09-25,0,Gold,West,37,239.94,0.21,47,2022-11-12,True,True,Search,7,24.3,3.8,False,2023-10-18,0.09,82
CUST00398,2022-04-11,0,Gold,Central,31,346.34,0.01,45,2022-06-11,True,False,Email,9,5.4,1.8,True,2022-03-30,0.25,72
CUST00871,2022-09-01,1,Gold,South,35,240.51,0.21,56,2023-10-23,True,False,Search,4,43.9,3.8,True,2023-09-01,0.36,54
CUST02843,2022-07-31,0,Bronze,West,41,305.28,0.28,49,2023-05-06,False,False,Search,5,19.2,2.6,False,2023-07-10,0.14,2
CUST00393,2022-07-03,1,Bronze,East,21,305.97,0.05,37,2022-11-07,False,False,Email,1,27.9,3.4,True,2023-08-04,0.19,46
CUST00207,2023-08-11,0,Bronze,East,47,199.17,0.16,37,2022-07-30,True,True,Friend,0,45.4,3.3,False,2023-05-22,0.04,84
CUST01039,2022-01-04,0,Silver,West,46,468.31,0.21,46,2022-04-08,False,False,Social Media,1,14.9,4.9,True,2023-05-24,0.35,76
CUST01882,2023-08-16,1,Bronze,South,43,478.81,0.07,52,2023-10-16,True,False,Email,1,9.4,1.3,True,2022-04-14,0.22,74
CUST02940,2022-08-29,0,Gold,West,13,299.29,0.23,49,2023-01-20,False,True,Social Media,8,41.7,2.1,False,2023-12-07,0.27,86
CUST01485,2023-02-19,1,Gold,East,39,54.41,0.26,34,2023-03-19,False,True,Social Media,6,25.5,3.4,False,2022-08-03,0.15,77
CUST00864,2023-12-31,1,Gold,East,27,255.74,0.24,69,2022-10-18,False,True,Email,4,33.7,4.0,True,2023-12-09,0.19,81
CUST02791,2022-10-16,1,Silver,Central,25,108.52,0.08,68,2023-09-21,False,True,Search,8,6.2,4.6,False,2022-05-24,0.08,9
CUST00564,2023-08-27,1,Platinum,South,2,251.94,0.24,25,2022-04-27,True,True,Email,7,33.7,1.4,False,2023-11-30,0.02,25
CUST01021,2022-06-28,1,Gold,Central,35,110.47,0.12,38,2022-02-01,False,False,Search,9,28.0,2.1,True,2022-01-08,0.31,69
CUST00096,2023-01-12,1,Silver,North,8,357.85,0.08,40,2022-08-03,False,True,Email,6,16.4,1.5,False,2023-02-15,0.03,22
CUST01924,2022-11-01,0,Platinum,West,33,58.61,0.05,68,2023-04-14,True,False,Friend,4,40.9,1.3,True,2022-01-13,0.27,47
CUST01758,2023-04-12,1,Silver,Central,25,477.59,0.27,68,2023-06-02,False,True,Social Media,7,22.6,1.1,True,2023-06-01,0.03,4
CUST02533,2022-10-21,1,Silver,South,21,113.78,0.13,44,2023-12-15,True,False,Email,9,20.2,4.2,True,2023-06-01,0.37,27
CUST02279,2023-06-23,0,Platinum,West,36,337.12,0.26,23,2023-05-31,False,True,Social Media,4,9.6,1.6,False,2023-06-14,0.03,75
CUST02797,2023-12-05,1,Bronze,West,13,460.14,0.05,69,2022-05-30,True,True,Email,4,13.0,2.6,False,2023-07-05,0.48,74
CUST01679,2023-11-26,0,Bronze,West,46,138.99,0.23,25,2023-04-19,True,True,Friend,4,13.8,1.0,False,2023-11-02,0.23,88
CUST00541,2023-12-26,1,Gold,West,9,468.46,0.03,52,2023-05-11,True,False,Email,1,20.1,4.3,False,2022-11-24,0.13,31
CUST01060,2022-05-02,1,Platinum,West,35,206.56,0.01,22,2022-07-11,True,False,Search,8,24.5,1.4,True,2023-10-02,0.08,45
CUST02573,2022-04-26,1,Gold,South,46,481.05,0.3,50,2023-06-14,False,False,Email,9,47.5,2.8,False,2022-11-13,0.25,92
CUST01184,2022-03-17,0,Silver,North,36,486.25,0.02,18,2023-04-11,False,True,Search,5,26.6,2.4,False,2022-02-03,0.3,72
CUST01723,2022-06-16,0,Bronze,East,49,110.28,0.14,41,2023-10-25,True,False,Email,1,23.0,2.0,True,2022-08-15,0.02,21
CUST01820,2023-10-07,1,Gold,North,47,418.92,0.26,49,2023-12-02,True,True,Friend,0,31.1,2.8,False,2022-02-09,0.47,11
CUST02626,2022-11-11,1,Gold,East,44,112.84,0.25,50,2023-09-20,True,True,Social Media,3,36.5,1.2,False,2023-10-26,0.2,57
CUST02730,2023-11-27,0,Bronze,Central,46,128.69,0.14,55,2023-07-17,False,True,Email,3,47.0,2.5,False,2023-07-07,0.39,67
CUST02605,2022-02-11,0,Silver,West,10,60.38,0.18,19,2023-04-27,True,True,Search,4,47.9,3.2,False,2023-10-13,0.18,6
CUST01598,2022-01-18,0,Gold,Central,5,95.14,0.19,61,2022-03-04,False,False,Friend,3,41.5,3.4,True,2022-05-15,0.21,24
CUST02694,2022-02-13,1,Gold,Central,31,323.47,0.03,34,2022-06-28,True,True,Search,0,3.0,3.2,True,2022-07-25,0.03,51
CUST00796,2022-01-21,0,Platinum,East,24,235.64,0.09,27,2023-03-06,False,True,Friend,1,3.0,2.8,False,2023-04-13,0.19,3
CUST01052,2023-06-10,0,Platinum,South,32,399.65,0.09,54,2023-01-20,False,False,Email,5,16.2,3.3,True,2022-08-29,0.13,63
CUST01644,2022-06-02,0,Bronze,West,49,179.36,0.11,54,2023-03-31,True,True,Social Media,9,41.8,1.4,True,2022-10-17,0.39,79
CUST01364,2023-04-20,0,Bronze,Central,49,484.94,0.08,19,2023-06-02,True,True,Email,8,36.8,2.2,False,2022-10-30,0.11,96
CUST01982,2022-06-22,0,Silver,North,3,43.94,0.08,29,2022-03-27,True,True,Search,7,30.6,4.9,True,2023-02-02,0.48,68
CUST01355,2022-02-24,0,Silver,,16,50.21,0.11,54,2022-07-08,False,True,Friend,6,10.1,4.8,True,2022-04-29,0.36,67
CUST01664,2023-12-21,0,Gold,South,41,356.66,0.11,47,2023-01-05,True,False,Email,6,46.7,3.5,True,2023-11-24,0.29,92
CUST01530,2023-04-12,1,Platinum,West,49,446.02,0.15,32,2022-05-02,True,False,Friend,0,43.2,3.0,True,2023-12-15,0.22,18
CUST02039,2023-08-27,0,Silver,Central,20,401.84,0.05,40,2023-06-18,True,True,Search,4,43.9,1.9,False,2022-04-14,0.32,97
CUST01497,2023-09-09,1,Gold,North,44,255.11,0.24,69,2022-10-02,True,False,Friend,3,24.9,2.4,False,2022-10-30,0.48,79
CUST02238,2022-02-07,1,Gold,Central,24,149.43,0.26,35,2023-09-20,True,True,Email,4,18.3,3.6,False,2022-10-30,0.49,39
CUST01409,2023-05-26,0,Bronze,South,34,26.46,0.07,48,2022-09-28,True,True,Search,5,30.9,4.2,True,2023-12-04,0.02,56
CUST01401,2023-02-10,1,Platinum,East,48,264.54,0.04,55,2022-11-06,False,True,Email,5,31.8,4.3,False,2023-08-06,0.27,65
CUST01307,2022-09-23,1,Gold,,23,248.31,0.22,46,2022-07-23,False,False,Email,9,44.6,1.6,False,2023-10-28,0.24,8
CUST02681,2022-06-13,0,Bronze,South,38,185.24,0.28,31,2023-04-06,True,True,Email,4,27.9,3.0,True,2022-02-18,0.42,32
CUST02676,2023-09-26,1,Gold,South,2,297.47,0.01,60,2022-12-06,False,True,Social Media,2,42.3,3.9,True,2023-06-03,0.44,82
CUST00973,2023-09-21,0,Platinum,Central,41,369.83,0.0,57,2022-10-11,False,True,Friend,2,15.8,3.8,True,2022-06-17,0.32,61
CUST01769,2023-05-11,0,Gold,Central,5,356.43,0.06,40,2023-05-26,False,True,Search,7,3.0,4.9,True,2022-06-17,0.27,28
CUST01283,2023-08-04,0,Gold,Central,18,146.36,0.21,42,2023-12-03,True,False,Social Media,7,21.5,1.5,False,2022-10-15,0.02,17
CUST00710,2023-07-26,0,Silver,East,29,300.95,0.29,58,2023-12-23,True,False,Social Media,7,10.4,2.8,False,2023-09-24,0.42,77
