CustomerID,CLV,TenureMonths,AvgOrderValue,TotalOrders,RepeatRate,ReferralCount,SignupDate,LastOrderDate,CustomerSegment,Region,EmailEngagement,MobileAppUsage,SupportInteractions,SatisfactionScore,ChurnRisk,PromoUsageRate,AvgDeliveryTime,CartAbandonRate,ReviewCount
CUST02830,7659.49,51,325.08,5,0.24,15,2022-09-10,2023-07-19,Returning,North,0.57,0.16,6,3.9,0.71,0.16,3.28,0.16,69
CUST00900,607.9,36,423.2,93,0.84,6,2023-10-04,2023-04-27,Returning,East,0.62,0.22,6,5.0,0.8,0.89,4.55,0.18,11
CUST01346,4624.25,51,136.63,65,0.5,8,2023-12-09,2023-03-24,VIP,East,0.35,0.85,4,2.8,0.86,0.88,2.88,0.33,45
CUST02833,9530.1,23,362.03,36,0.57,5,2023-12-20,2022-11-17,VIP,South,0.56,0.29,1,4.9,0.12,0.4,4.24,0.1,60
CUST01878,9182.71,20,247.54,8,0.33,17,2022-06-24,2023-04-12,VIP,South,0.39,0.7,6,3.9,0.96,0.9,5.59,0.19,85
CUST01318,5699.48,37,443.83,64,0.11,12,2023-02-14,2022-11-15,VIP,South,0.72,0.17,6,1.6,0.41,0.26,9.52,0.41,6
CUST00614,5303.72,30,261.96,59,0.12,12,2022-08-19,2022-09-24,New,North,0.89,0.43,6,3.8,0.59,0.39,2.68,0.29,0
CUST00520,7701.63,41,36.23,56,0.9,8,2023-05-04,2022-08-25,VIP,West,0.39,0.53,6,3.3,0.52,0.44,8.74,0.09,94
CUST01456,7283.74,36,107.3,9,0.36,15,2023-05-17,2023-12-06,VIP,West,0.03,0.46,5,2.2,0.48,0.12,6.47,0.13,71
CUST01849,4759.56,53,400.13,38,0.76,10,2023-11-08,2022-06-30,New,East,0.37,0.39,6,1.4,0.51,0.69,6.71,0.27,77
CUST01907,1822.7,36,401.35,74,0.48,2,2023-09-05,2022-09-20,VIP,North,0.57,0.88,2,3.8,0.77,0.59,9.63,0.36,29
CUST00768,9863.1,14,485.39,49,0.74,1,2022-12-14,2023-05-30,New,West,0.42,0.29,6,1.6,0.29,0.89,7.93,0.38,92
CUST02777,8571.57,19,185.18,24,0.29,2,2023-02-01,2022-06-17,New,South,0.09,0.66,3,2.0,0.58,0.92,3.33,0.31,15
CUST01094,5084.47,45,242.97,62,0.25,12,2022-07-31,2022-12-27,Returning,East,0.29,0.04,4,3.4,0.36,0.65,3.71,0.27,95
CUST02569,835.42,53,303.96,14,0.81,16,2022-04-17,2023-07-30,VIP,South,0.41,0.15,9,4.1,0.52,0.71,7.64,0.2,58
CUST02733,257.7,33,106.84,77,0.11,7,2023-10-25,2023-03-06,VIP,West,0.35,0.02,1,3.1,0.53,0.6,6.99,0.07,29
CUST02874,3627.6,51,444.19,61,0.63,14,2022-11-29,2023-09-28,Returning,East,0.89,0.97,0,1.9,0.96,0.63,2.75,0.03,71
CUST02427,12/05/2023,35,370.25,51,0.6,0,2022-06-14,2022-10-14,VIP,North,0.46,0.34,8,1.0,0.18,0.9,3.77,0.32,32
CUST02126,1293.39,3,222.36,86,0.65,17,2022-07-10,2023-12-22,VIP,West,0.75,0.11,8,2.0,0.9,0.75,7.16,0.38,36
CUST01845,1506.03,53,162.59,43,0.6,5,2022-04-26,2022-09-08,VIP,East,0.24,0.96,3,4.2,0.24,0.59,7.84,0.43,90
CUST00298,9657.87,36,469.63,10,0.28,19,2022-07-24,2023-11-01,New,West,0.78,0.44,7,4.7,0.5,0.19,7.52,0.2,36
CUST01726,6387.32,34,291.69,9,0.51,4,2022-01-29,2023-08-17,VIP,North,0.45,0.39,3,3.2,0.3,0.17,5.12,0.26,97
CUST01058,5582.35,8,367.37,14,0.81,11,2022-05-20,2022-10-10,Returning,North,0.72,0.26,6,4.4,0.19,0.67,8.08,0.1,22
CUST00653,7523.79,23,271.14,50,0.84,14,2022-08-08,2023-11-04,VIP,East,0.8,0.16,0,3.0,0.13,0.72,3.14,0.06,52
CUST02475,3929.15,47,27.26,75,0.57,5,2022-05-22,2022-03-14,New,North,0.37,0.7,5,2.7,0.28,0.28,4.54,0.29,28
CUST01220,1563.52,33,303.86,93,0.7,7,2022-02-21,2023-02-21,VIP,North,0.85,0.91,9,2.6,0.97,0.33,7.0,0.3,1
CUST00989,3877.48,36,23.61,10,0.16,2,2022-12-25,2022-11-06,Returning,South,0.37,0.75,1,4.8,0.61,0.09,6.79,0.5,18
CUST01167,7442.95,49,291.57,61,0.89,9,2023-04-05,2023-11-18,Returning,North,0.39,0.98,3,1.3,0.25,0.24,3.56,0.15,17
CUST01960,6912.68,5,162.41,36,0.32,10,2022-03-12,2023-12-14,New,North,0.8,0.71,2,2.1,0.47,0.73,5.34,0.42,39
CUST02572,806.6,37,429.92,2,0.32,6,2023-02-12,2022-11-19,New,East,0.54,0.76,8,1.1,0.33,0.23,3.45,0.46,76
CUST01544,2877.74,25,382.88,18,0.49,11,2023-04-02,2022-08-11,New,South,0.23,0.91,5,4.7,0.19,0.57,1.45,0.01,62
CUST02974,12/05/2023,18,286.48,48,0.84,9,2022-06-01,2022-11-06,VIP,West,0.27,0.82,0,1.2,0.51,0.46,6.91,0.03,8
CUST02080,9546.18,25,316.38,30,0.46,12,2023-01-26,2023-08-04,VIP,East,0.23,0.18,8,2.3,0.41,0.03,6.71,0.16,5
CUST01469,7690.22,22,213.43,37,0.13,13,2023-10-26,2023-11-17,VIP,West,0.61,0.33,4,4.8,0.57,0.48,2.58,0.22,13
CUST02068,4369.37,15,235.26,46,0.32,8,2022-05-06,2023-09-03,New,South,0.66,0.22,8,4.0,0.18,0.25,7.55,0.18,89
CUST00041,4921.61,24,498.33,57,0.76,14,2022-09-27,2023-10-08,Returning,East,0.34,0.72,4,1.3,0.32,0.46,9.64,0.13,75
CUST02461,7097.06,8,354.66,63,0.57,17,2022-02-14,2023-05-06,VIP,North,0.61,0.15,5,2.5,0.95,0.33,9.25,0.21,33
CUST00272,2404.39,56,102.2,54,0.76,10,2023-02-02,2023-01-16,VIP,West,0.79,0.29,2,2.7,0.18,0.03,5.21,0.38,81
CUST00404,7712.52,16,51.88,50,0.42,11,2023-01-10,2022-07-05,Returning,North,0.25,0.76,5,4.1,0.82,0.87,4.16,0.16,54
CUST02961,7432.51,48,374.2,90,0.19,8,2023-08-12,2023-03-09,New,North,0.96,0.36,4,4.0,0.94,0.33,3.96,0.39,12
CUST02809,3483.14,39,419.85,45,0.59,0,2023-10-06,2023-08-22,New,North,0.14,0.15,9,1.3,0.56,0.07,9.47,0.05,89
CUST02274,3251.51,2,390.02,82,0.56,13,2022-07-17,2022-06-23,Returning,West,0.37,0.39,8,4.6,0.66,0.93,4.54,0.08,39
CUST00725,2583.8,38,152.28,29,0.11,2,2023-05-06,2022-04-29,Returning,North,0.18,0.07,7,4.9,0.84,0.43,2.48,0.19,57
CUST02297,3811.75,9,83.46,95,0.47,8,2023-04-27,2022-07-11,VIP,West,0.1,0.94,9,1.1,0.86,0.08,8.02,0.2,90
,4392.37,20,285.5,3,0.48,1,2022-12-14,2022-11-19,VIP,North,0.17,0.67,3,1.1,0.14,0.29,6.23,0.38,36
CUST02273,479.59,14,30.73,33,0.23,18,2023-02-20,2023-05-23,Returning,South,0.08,0.42,2,2.3,0.97,0.15,6.88,0.21,99
CUST00201,9959.96,8,128.35,44,0.15,4,2023-10-26,2022-03-26,Returning,West,0.26,0.29,2,2.0,0.21,0.13,5.53,0.27,36
CUST00975,9344.05,8,281.21,5,0.1,17,2023-11-29,2022-10-14,New,West,0.13,0.63,7,1.0,0.14,0.29,7.24,0.35,43
,1734.57,40,476.74,89,0.4,11,2023-12-05,2022-02-14,Returning,South,0.64,0.61,2,1.9,0.27,0.22,6.98,0.33,34
CUST02724,8483.08,31,127.63,90,0.63,2,2022-05-11,2023-09-03,Returning,East,0.35,0.46,2,4.5,0.08,0.65,3.42,0.05,44
CUST02955,8164.78,43,370.76,10,0.75,10,2023-02-06,2022-02-06,VIP,West,0.17,0.84,3,1.7,0.2,0.86,9.9,0.31,10
CUST01955,2744.52,14,491.56,14,0.44,10,2022-01-24,2023-01-21,Returning,South,0.99,0.99,1,3.3,0.62,0.85,6.35,0.35,36
CUST00423,9821.01,33,172.92,93,0.15,15,2022-12-27,2022-01-21,Returning,East,0.14,0.76,1,4.8,0.66,0.78,1.19,0.28,38
CUST02758,2726.59,44,164.47,68,0.48,0,2023-04-15,2022-09-21,Returning,East,0.85,0.56,9,1.7,0.39,0.53,3.74,0.06,20
CUST02905,9432.23,8,230.59,96,0.9,2,2022-02-04,2023-07-08,New,North,0.96,0.2,0,2.8,0.38,1.0,3.83,0.25,85
CUST02513,4523.47,5,274.14,15,0.69,19,2022-12-14,2023-10-20,VIP,South,0.35,0.39,1,1.7,0.27,0.25,6.91,0.27,24
CUST00378,4642.4,46,409.9,10,0.57,17,2022-04-01,2023-08-10,VIP,North,0.09,0.85,5,1.8,0.58,0.99,7.43,0.08,59
CUST01281,8210.04,29,250.68,70,0.25,4,2023-12-30,2023-12-30,New,North,0.07,0.4,4,4.9,0.15,0.59,8.99,0.05,11
CUST01154,6844.42,14,296.24,22,0.88,17,2022-11-23,2023-11-20,Returning,South,0.37,0.98,8,4.4,0.8,0.81,7.78,0.03,13
CUST02529,5017.9,45,370.19,23,0.28,3,2023-12-13,2023-07-14,New,South,0.32,0.63,7,3.1,0.03,0.04,8.52,0.37,21
CUST02615,2257.31,42,129.58,27,0.28,16,2022-03-02,2022-08-20,Returning,North,0.76,0.04,6,2.1,0.61,0.87,2.45,0.27,18
CUST02309,8403.37,33,343.65,4,0.26,4,2023-08-21,2023-01-22,VIP,East,0.1,0.91,7,1.5,0.15,0.31,8.66,0.39,79
CUST01725,9325.06,29,265.42,60,0.14,3,2023-02-23,2022-05-18,Returning,North,0.46,0.82,5,1.1,0.25,0.18,2.03,0.2,73
CUST02594,5659.79,31,173.8,93,0.75,5,2023-02-28,2022-05-30,Returning,North,0.74,0.47,9,4.1,0.17,0.97,7.69,0.17,60
CUST02998,7098.71,36,54.33,72,0.37,4,2022-10-04,2023-11-10,VIP,West,0.92,0.66,9,2.8,0.26,0.4,6.67,0.39,95
CUST02359,9718.51,44,20.5,13,0.89,10,2023-01-23,2022-06-26,VIP,North,0.13,0.73,6,4.6,0.96,0.39,4.19,0.41,3
CUST02461,1715.13,15,360.33,35,0.61,0,2022-05-16,2023-01-19,New,West,0.31,0.54,7,1.9,0.94,0.1,2.88,0.31,44
CUST02827,1239.27,4,376.72,32,0.62,3,2023-04-07,2023-01-28,VIP,West,0.68,0.02,7,1.5,0.99,0.27,2.43,0.06,61
CUST00880,1038.31,4,129.6,18,0.83,4,2023-09-04,2022-07-26,Returning,South,0.64,0.14,6,1.8,0.36,0.73,4.77,0.27,66
CUST01674,9628.75,41,149.32,91,0.41,2,2022-05-22,2022-10-09,VIP,West,0.22,0.0,2,3.7,0.26,0.92,5.83,0.33,59
CUST02890,7521.92,23,152.64,73,0.72,7,2023-02-18,2023-12-18,New,West,0.42,0.08,8,3.9,0.08,0.21,6.28,0.35,17
CUST00058,7460.16,50,436.18,64,0.7,19,2023-09-11,2023-12-13,Returning,West,0.31,0.96,2,2.2,0.63,0.62,4.38,0.19,49
CUST02486,5224.22,56,225.8,12,0.87,3,2023-05-23,2023-07-26,VIP,South,0.8,0.08,1,1.3,0.0,0.72,9.32,0.44,78
CUST02878,5545.68,42,488.43,93,0.62,0,2022-06-17,2022-09-21,New,East,0.64,0.38,6,2.1,0.08,0.71,8.39,0.31,21
CUST02940,8808.01,30,143.93,92,0.39,3,2022-11-17,2022-10-20,Returning,North,0.97,0.21,6,5.0,0.45,0.91,9.36,0.15,73
CUST01390,9498.43,52,255.72,14,0.36,5,2022-04-05,2022-10-08,VIP,North,0.0,0.71,1,4.6,0.87,0.7,4.87,0.38,50
CUST02187,815.77,34,24.04,41,0.59,18,2023-11-16,2022-01-23,New,East,0.12,0.08,1,4.2,0.65,0.4,9.2,0.43,48
CUST02104,5675.7,6,93.68,66,0.27,6,2022-04-13,2023-05-04,Returning,North,0.25,0.41,1,1.4,0.05,0.08,2.22,0.28,87
CUST00259,7370.32,3,289.76,21,0.8,9,2023-01-06,2023-03-08,Returning,East,0.13,0.11,1,2.0,0.04,0.11,8.71,0.08,59
CUST00457,5204.9,21,284.21,87,0.6,0,2023-01-21,2023-04-15,Returning,East,0.51,0.64,1,3.5,0.29,0.53,2.07,0.44,30
CUST01901,9857.19,2,312.95,92,0.8,18,2023-02-07,2022-12-12,VIP,North,0.8,0.4,9,1.6,0.92,0.05,4.33,0.38,41
CUST01913,5019.29,15,211.01,88,0.14,17,2023-09-09,2022-10-13,VIP,West,0.67,0.37,9,2.9,0.7,0.57,7.07,0.44,7
CUST02093,9944.13,57,376.12,13,0.77,17,2023-12-19,2023-11-10,New,West,0.71,0.87,7,2.3,0.74,0.01,3.58,0.34,26
CUST02436,5403.97,45,400.46,14,0.31,10,2022-01-22,2022-06-13,New,East,0.31,0.83,9,4.4,0.72,0.77,5.55,0.29,67
CUST00551,4810.57,13,40.58,40,0.15,14,2022-10-11,2022-01-31,New,North,0.98,0.25,5,3.3,0.83,0.48,8.16,0.26,92
CUST01375,8963.35,18,175.35,2,0.33,17,2022-04-15,2022-07-17,Returning,North,0.71,0.6,0,3.6,0.25,0.22,8.16,0.23,41
CUST00764,5462.41,34,58.72,97,0.4,1,2022-05-16,2023-05-30,New,South,0.04,0.5,3,1.1,0.05,0.27,6.69,0.47,84
CUST02146,5462.43,31,313.59,7,0.22,5,2022-12-20,2022-01-12,Returning,South,0.99,0.74,1,2.8,0.91,0.17,7.63,0.02,68
CUST01878,731.03,26,160.58,83,0.24,12,2023-05-30,2022-12-07,New,North,0.1,0.1,9,3.8,0.39,0.91,6.63,0.03,92
CUST02448,8066.59,3,182.64,9,0.76,14,2023-07-20,2023-02-12,New,North,0.72,0.35,9,4.1,0.99,0.08,8.95,0.06,4
CUST01922,4893.29,40,171.85,65,0.25,6,2023-06-15,2022-09-17,New,North,0.56,0.73,3,2.7,0.57,0.73,5.57,0.18,47
CUST01310,4016.36,1,40.81,34,0.86,18,2023-05-18,2023-04-29,New,West,0.49,0.15,9,3.3,0.44,0.89,6.39,0.14,82
CUST02651,7210.4,47,280.23,72,0.6,15,2022-06-18,2022-01-17,New,West,0.07,0.9,4,1.5,0.41,0.7,7.55,0.28,23
CUST01181,5058.16,6,242.81,53,0.37,6,2022-02-24,2023-05-22,New,East,0.48,0.81,1,1.8,0.96,0.17,5.18,0.31,41
CUST01187,8267.63,23,383.13,54,0.75,13,2023-09-13,2023-01-18,VIP,North,0.01,0.02,0,4.2,0.75,0.69,4.87,0.23,57
,1908.35,36,283.57,25,0.82,19,2023-12-12,2022-07-17,VIP,North,0.1,0.59,1,2.9,0.48,0.12,9.47,0.11,54
CUST01159,6061.62,37,142.75,73,0.34,5,2022-03-18,2022-09-08,VIP,South,0.57,0.32,2,4.0,0.77,0.28,4.62,0.42,4
CUST02965,7895.14,24,420.2,87,0.73,9,2023-07-17,2023-01-28,VIP,North,0.54,0.15,3,4.6,0.15,0.34,4.73,0.38,43
CUST01987,9199.23,12,104.48,24,0.15,7,2023-03-25,2022-05-15,New,North,0.62,0.23,5,4.8,0.12,0.94,8.68,0.24,55
CUST02398,9888.56,31,457.61,94,0.22,19,2022-03-22,2022-02-23,Returning,South,0.28,0.95,4,3.5,0.69,0.63,8.93,0.27,9
CUST01737,7679.13,9,334.88,99,0.34,12,2022-02-08,2023-02-19,Returning,West,0.35,0.62,7,2.7,0.97,0.71,3.7,0.18,2
CUST02129,3452.97,19,321.35,70,0.79,5,2023-01-09,2022-06-29,VIP,West,0.86,0.21,7,1.7,0.89,0.85,2.0,0.2,59
CUST00946,833.59,24,436.85,37,0.23,1,2022-02-12,2023-09-25,Returning,West,0.96,0.38,3,3.3,0.24,0.6,1.79,0.06,8
CUST00625,8581.19,11,301.29,56,0.46,2,2022-12-01,2022-02-17,VIP,West,0.41,0.09,5,1.3,0.61,0.12,8.97,0.02,75
CUST02544,3745.05,11,489.6,1,0.79,2,2023-10-25,2022-07-22,New,South,0.8,0.66,9,4.6,0.56,0.64,2.16,0.36,64
CUST02534,3607.53,9,489.33,19,0.7,6,2022-10-03,2022-03-29,New,South,0.38,0.88,1,3.6,0.45,0.72,9.1,0.02,35
CUST01345,4914.05,39,379.31,69,0.46,2,2022-08-18,2023-05-20,VIP,North,0.53,0.0,3,3.0,0.71,0.9,4.79,0.41,92
CUST01299,3079.67,28,406.48,56,0.9,17,2022-09-09,2022-02-19,VIP,North,0.53,0.07,4,1.6,0.76,0.64,3.83,0.3,86
CUST00394,1685.69,46,309.44,52,0.2,15,2022-11-04,2022-10-10,Returning,South,0.34,0.1,5,2.4,0.1,0.69,5.17,0.17,73
CUST00813,1590.01,6,229.23,12,0.49,17,2023-08-13,2022-12-19,VIP,North,0.66,0.47,6,3.3,0.65,0.05,5.94,0.05,58
CUST01990,2022.21,21,402.77,6,0.38,14,2022-10-16,2022-06-27,VIP,East,0.36,0.82,9,3.7,0.69,0.5,3.77,0.06,48
CUST00972,236.09,7,126.78,32,0.52,3,2022-10-25,2023-05-03,VIP,West,0.42,0.15,6,3.9,0.07,0.66,1.16,0.0,81
,8485.26,43,96.37,72,0.8,14,2023-09-17,2023-05-25,Returning,South,0.93,0.77,4,3.3,0.66,0.95,3.3,0.07,35
CUST00156,8295.85,39,255.01,47,0.81,5,2022-11-12,2022-06-23,Returning,West,0.05,0.45,1,2.6,0.03,0.41,3.06,0.03,25
CUST01591,3255.29,1,358.73,52,0.33,3,2022-03-12,2023-07-26,Returning,East,0.28,0.55,3,3.8,0.38,0.46,9.89,0.06,2
CUST01350,9923.67,24,138.04,98,0.66,8,2023-04-20,2023-05-29,New,South,0.38,0.5,0,2.8,0.78,0.06,5.24,0.38,0
CUST02470,1751.31,10,408.89,28,0.12,8,2022-07-15,2022-01-17,New,West,0.29,0.24,5,4.6,0.95,0.23,9.54,0.12,12
CUST00258,7088.95,43,495.4,79,0.57,6,2022-08-26,2023-10-13,VIP,South,0.62,0.18,8,3.1,0.99,0.4,8.56,0.18,9
CUST02883,12/05/2023,24,172.43,31,0.31,16,2022-12-06,2022-05-04,New,North,0.91,0.85,9,2.5,0.33,0.92,1.88,0.25,37
CUST02340,12/05/2023,32,169.9,61,0.77,9,2023-08-08,2022-07-14,VIP,East,0.19,0.76,4,3.9,0.02,0.46,5.7,0.49,37
CUST00033,6304.15,55,382.88,50,0.27,8,2023-09-28,2022-02-16,New,East,0.45,0.36,2,3.6,0.09,0.39,9.42,0.05,67
CUST00409,3612.44,49,154.23,50,0.25,10,2023-12-11,2023-05-12,VIP,North,0.25,0.81,7,3.6,0.09,0.45,3.97,0.02,7
CUST00234,2456.72,48,261.29,87,0.12,16,2023-04-06,2023-06-21,Returning,West,0.77,0.83,1,2.7,0.37,0.27,6.02,0.49,73
CUST01358,8184.11,20,314.04,80,0.81,10,2022-11-09,2023-07-23,Returning,South,0.87,0.28,3,4.6,0.35,0.88,4.5,0.38,80
CUST00663,379.29,4,46.32,14,0.54,6,2023-07-06,2023-03-13,New,East,0.21,0.19,1,3.7,0.26,0.27,7.95,0.11,80
CUST01927,7842.11,3,333.91,34,0.76,1,2023-01-17,2023-01-08,VIP,South,0.69,0.63,6,4.1,0.13,0.0,3.69,0.45,22
CUST02578,7960.7,30,493.38,19,0.23,7,2023-06-17,2023-08-24,New,West,0.22,0.2,0,2.9,0.53,0.34,1.56,0.17,72
CUST01794,3843.05,24,163.31,17,0.25,5,2023-01-23,2023-11-22,Returning,East,0.16,0.71,9,2.4,0.86,0.59,6.49,0.43,18
CUST02613,5059.74,26,399.33,23,0.6,8,2022-02-12,2023-09-16,New,East,0.28,0.3,2,2.5,0.76,0.84,8.24,0.42,19
CUST01183,4402.71,56,474.8,39,0.45,18,2023-02-25,2022-05-22,Returning,East,0.36,0.41,8,3.7,0.96,0.54,4.65,0.45,43
CUST02234,6593.81,19,128.09,38,0.43,2,2022-09-15,2022-01-21,New,East,0.96,0.42,6,3.4,0.57,0.67,5.86,0.1,63
CUST00738,3830.06,13,236.0,5,0.51,17,2022-04-09,2023-07-30,VIP,North,0.32,0.3,6,5.0,0.93,0.18,1.29,0.2,75
CUST00402,5301.21,53,279.7,17,0.64,16,2023-10-27,2022-05-03,New,West,1.0,0.33,0,2.0,0.69,0.67,3.81,0.5,36
CUST00174,397.63,30,467.1,82,0.79,6,2022-06-06,2022-06-09,New,West,0.1,0.7,2,4.4,0.98,0.2,1.68,0.16,35
CUST00784,4066.03,18,20.27,31,0.42,18,2023-01-03,2023-02-08,Returning,North,0.34,0.71,8,1.5,0.46,0.52,7.95,0.08,39
CUST00785,4396.11,38,268.67,1,0.32,15,2023-10-13,2022-10-24,New,West,0.57,0.02,6,3.1,0.98,0.17,3.09,0.02,51
CUST01500,5542.99,36,384.0,65,0.51,7,2022-02-08,2023-01-09,VIP,South,0.46,0.54,5,4.3,0.52,0.6,2.59,0.4,94
,1886.33,27,440.09,92,0.72,5,2023-12-28,2022-03-27,VIP,East,0.95,0.47,1,4.3,0.49,0.46,7.35,0.25,98
CUST01116,6048.65,16,417.17,19,0.8,0,2023-03-01,2022-06-20,Returning,East,0.49,0.41,0,3.5,0.2,0.7,9.49,0.46,31
CUST00562,1154.58,8,306.49,27,0.52,0,2023-10-20,2023-05-17,VIP,North,0.69,0.96,3,1.1,0.79,0.34,4.67,0.48,42
CUST01616,8350.77,32,456.87,97,0.8,13,2023-05-19,2023-06-01,Returning,East,0.28,0.04,7,2.0,0.14,0.11,8.11,0.01,20
CUST02902,4656.52,25,292.37,80,0.64,0,2023-10-26,2022-12-02,VIP,North,0.28,0.64,4,2.1,0.42,0.01,2.43,0.47,45
CUST00284,4023.01,56,303.88,98,0.41,14,2022-04-02,2023-02-18,Returning,South,0.4,0.14,0,4.7,0.06,0.24,6.59,0.04,52
CUST01763,2823.05,21,133.1,95,0.63,1,2022-02-20,2023-11-03,New,North,0.2,0.34,7,3.6,0.08,0.79,6.14,0.11,72
CUST00691,1059.05,2,488.69,26,0.73,17,2023-09-28,2022-03-24,Returning,West,0.96,0.35,9,2.4,0.93,0.86,4.15,0.47,82
CUST02963,7374.76,49,32.32,29,0.35,0,2022-07-24,2023-05-09,VIP,East,0.97,0.17,6,1.0,0.46,0.78,1.63,0.48,87
CUST01924,1883.19,21,227.52,74,0.11,18,2023-11-07,2023-01-19,New,West,0.6,0.31,0,4.5,0.25,0.3,1.52,0.1,17
CUST00021,1605.22,7,91.48,12,0.68,2,2022-01-02,2022-09-01,New,East,0.48,0.79,4,4.6,0.11,0.1,5.12,0.33,81
CUST00378,6784.31,17,105.75,30,0.68,6,2023-12-09,2022-12-04,Returning,East,0.03,0.62,8,3.5,0.81,0.05,3.7,0.05,10
CUST00390,1455.11,8,351.55,72,0.73,12,2023-08-30,2022-02-16,New,North,0.44,0.14,7,1.3,0.9,0.27,6.63,0.14,18
CUST01242,9459.28,22,189.4,95,0.12,5,2022-11-22,2022-01-12,New,South,0.62,0.6,2,2.8,0.99,0.46,1.2,0.34,82
CUST02652,431.06,46,209.02,85,0.31,9,2022-07-22,2022-09-28,Returning,East,0.19,0.44,4,2.5,0.65,0.15,8.16,0.41,62
CUST02639,8964.02,7,351.12,88,0.52,18,2022-07-23,2022-05-22,VIP,East,0.74,0.95,0,4.6,0.58,0.28,3.02,0.16,75
CUST02893,4836.45,10,81.57,78,0.47,0,2022-01-21,2023-08-07,Returning,South,0.23,0.38,5,4.3,0.46,0.54,4.9,0.28,41
CUST02135,9951.32,37,433.18,35,0.34,1,2023-04-17,2022-07-31,VIP,South,0.31,0.78,3,1.3,0.79,0.58,2.79,0.19,42
CUST00839,3763.39,59,356.85,83,0.65,7,2023-10-17,2023-09-10,VIP,North,0.8,0.72,3,4.1,0.32,0.97,5.51,0.45,95
CUST02121,877.25,7,375.31,68,0.57,7,2023-07-19,2022-08-30,Returning,West,0.2,0.67,6,2.4,0.31,0.49,6.1,0.07,22
CUST01478,3659.08,16,260.09,64,0.73,4,2022-09-21,2022-03-16,Returning,West,0.82,0.61,2,4.4,0.86,0.58,7.28,0.18,20
CUST01345,2865.27,8,32.3,80,0.87,5,2022-11-14,2023-06-24,VIP,South,0.85,0.7,2,2.8,0.84,0.54,6.74,0.22,2
CUST02519,5578.35,54,151.11,22,0.39,2,2023-09-27,2023-08-19,Returning,North,0.57,0.28,2,1.8,0.37,0.14,4.23,0.3,32
CUST01175,7212.24,33,96.92,3,0.11,13,2023-12-16,2022-12-16,VIP,West,0.94,0.78,8,2.0,0.3,0.52,3.68,0.27,73
CUST00313,9817.32,50,50.46,84,0.58,12,2023-05-03,2023-11-15,New,North,0.0,0.96,9,3.3,0.91,0.31,7.88,0.19,78
CUST00205,1989.52,56,357.14,47,0.73,10,2023-07-23,2023-11-03,New,East,0.82,0.84,7,1.1,0.58,0.19,3.43,0.19,24
