ProductID,StockLevel,RestockDate,LeadTime,SupplierID,WarehouseID,InventoryTurnover,BackorderRate,StockoutFlag,ReorderPoint,SafetyStock,DemandForecast,ActualDemand,OverstockFlag,StorageCost,HandlingCost,InventoryValue,ProductCategory,Region,SupplierRating
PROD0274,549,2022-06-23,14,SUP0056,WH023,12.25,0.21,1,149,94,198.51,444.42,1,338.09,430.91,30671.36,Home,East,2.1
PROD0498,486,2022-01-28,3,SUP0126,WH012,9.05,0.17,1,218,28,458.6,290.36,1,734.61,287.62,45740.21,Home,West,2.3
PROD0449,230,2022-12-28,29,SUP0108,WH039,8.81,0.05,1,183,47,757.91,775.61,0,871.54,99.13,23333.62,Home,East,1.6
PROD0535,653,2022-10-29,19,SUP0145,WH010,9.6,0.08,0,73,20,320.42,577.87,1,333.66,342.18,15482.79,Electronics,West,4.5
PROD0089,650,2023-06-10,23,SUP0186,WH018,2.35,0.03,0,96,35,420.33,924.02,1,324.98,131.78,10809.94,Home,West,4.6
PROD0481,201,2022-08-15,4,SUP0198,WH046,9.44,0.19,0,187,86,232.66,586.79,1,634.42,307.76,36598.16,Electronics,North,1.4
PROD0265,413,2022-05-06,5,SUP0064,WH035,3.77,0.28,0,222,27,347.02,224.65,1,119.0,439.69,45539.34,Home,West,4.8
PROD0627,878,2023-01-03,16,SUP0055,WH027,6.56,0.3,1,162,29,537.48,302.44,1,882.52,185.48,46065.18,Electronics,West,3.6
PROD0474,987,2022-06-25,13,SUP0086,WH050,9.58,0.02,0,220,24,352.37,529.62,1,593.62,255.26,42414.37,Books,South,3.3
,538,2022-07-26,20,SUP0079,WH037,14.75,0.24,1,208,93,769.72,611.27,1,158.57,444.42,25433.36,Clothing,East,3.3
PROD0618,625,2023-05-03,23,SUP0007,WH034,13.21,0.23,0,114,62,269.77,178.38,0,595.13,435.75,32215.37,Home,South,2.2
PROD0452,984,2023-09-07,14,SUP0015,WH018,2.4,0.3,0,70,52,167.22,691.25,0,995.73,256.72,22607.5,Home,West,3.8
PROD0471,733,2022-02-04,20,SUP0134,WH028,4.26,0.19,1,157,31,825.88,185.61,0,668.04,275.25,42192.0,Home,North,1.1
PROD0922,443,2022-05-25,19,SUP0012,WH036,11.42,0.1,1,161,73,398.36,643.74,1,175.09,164.91,14642.01,Home,East,1.1
PROD0646,264,2022-12-09,20,SUP0176,WH048,1.44,0.04,0,68,93,325.07,498.03,1,664.95,121.73,7946.26,Electronics,North,3.4
PROD0094,808,2023-02-05,9,SUP0166,WH022,11.92,0.09,0,146,78,816.8,930.25,0,391.81,280.03,33227.31,Home,East,3.9
PROD0203,726,2022-02-17,16,SUP0124,WH035,5.38,0.24,0,188,44,352.02,837.06,0,117.27,494.34,29457.24,Home,East,1.6
PROD0226,894,2022-05-16,7,SUP0136,WH043,14.28,0.04,1,184,55,735.32,206.12,1,561.72,136.27,15702.45,Books,North,2.3
PROD0948,521,2023-05-17,25,SUP0063,WH004,12.22,0.01,1,283,60,987.63,451.42,0,775.95,268.71,26211.71,Books,South,1.6
PROD0304,651,2022-01-27,27,SUP0036,WH012,2.85,0.3,1,133,50,215.17,933.1,1,812.26,225.43,48013.19,Clothing,West,1.2
PROD0379,101,2023-06-10,15,SUP0160,WH003,12.18,0.12,0,270,58,509.21,193.74,0,222.34,251.83,41022.83,Home,West,1.1
PROD0374,960,2023-09-23,4,SUP0143,WH045,7.89,0.02,1,257,72,671.75,258.98,1,783.87,347.6,10643.88,Clothing,East,4.6
PROD0061,666,2022-11-06,7,SUP0094,WH049,10.27,0.23,0,53,25,781.55,717.0,0,312.07,141.77,48934.38,Home,East,2.5
PROD0011,315,2023-09-15,6,SUP0114,WH006,13.28,0.16,1,88,29,539.87,505.84,0,583.96,498.89,45937.74,Books,East,4.2
,684,2023-05-09,28,SUP0019,WH015,9.23,0.04,1,297,49,750.0,186.74,1,349.53,52.4,5135.26,Clothing,West,3.1
,595,2022-09-12,7,SUP0017,WH032,5.93,0.19,1,143,63,401.84,268.37,1,419.63,198.46,42684.47,Clothing,North,3.0
PROD0413,927,2022-06-11,12,SUP0139,WH029,8.18,0.23,0,106,82,591.75,719.51,1,227.91,89.01,47719.71,Clothing,North,2.6
PROD0518,643,2023-10-13,14,SUP0007,WH015,1.51,0.16,0,64,51,129.95,411.86,0,696.23,468.12,13578.88,Clothing,South,3.6
PROD0950,535,2022-06-07,18,SUP0012,WH016,13.94,0.11,1,214,25,728.1,321.26,1,313.18,397.92,10478.45,Electronics,West,4.4
PROD0488,760,2023-03-17,12,SUP0164,WH031,9.21,0.18,0,266,26,973.78,560.99,0,898.67,430.87,32465.77,Books,West,3.8
PROD0825,441,2023-10-11,20,SUP0191,WH006,12.34,0.22,0,190,66,785.84,464.93,0,488.65,276.05,1278.77,Books,North,3.1
PROD0555,391,2023-12-17,26,SUP0026,WH011,13.28,0.15,0,273,66,222.37,717.89,0,369.56,251.35,10821.42,Electronics,South,1.0
PROD0805,545,2022-12-29,12,SUP0177,WH011,4.65,0.24,1,244,45,257.02,983.17,0,870.81,94.97,29782.13,Clothing,North,4.1
PROD0245,344,2023-07-18,1,SUP0170,WH050,7.27,0.24,1,127,30,151.78,627.98,0,329.05,478.19,17127.54,Books,East,1.8
PROD0567,631,2022-07-04,22,SUP0075,WH037,2.31,0.0,0,200,94,810.09,659.49,1,836.39,175.77,1292.36,Clothing,South,1.4
PROD0411,949,2023-07-25,17,SUP0188,WH015,10.86,0.1,0,50,50,185.5,917.41,0,391.73,394.19,6265.01,Books,West,3.4
PROD0389,202,2022-02-16,3,SUP0075,WH037,2.61,0.23,1,189,87,898.43,215.93,1,370.95,122.27,44834.51,Electronics,North,1.7
PROD0905,328,2023-03-10,18,SUP0199,WH042,10.87,0.21,1,163,27,735.37,943.57,0,736.58,167.09,1878.18,Home,North,2.0
PROD0492,31,2022-04-16,9,SUP0045,WH004,3.58,0.23,1,210,89,437.6,935.88,1,223.44,168.91,34390.95,Home,East,2.3
PROD0198,509,2022-04-02,14,SUP0121,WH008,14.49,0.21,0,107,61,185.74,705.89,1,305.1,99.3,26420.28,Clothing,East,2.9
PROD0664,382,2023-08-26,21,SUP0112,WH025,8.72,0.2,0,243,23,291.1,831.34,0,317.68,261.7,47560.22,Books,West,3.1
PROD0646,305,2022-10-21,15,SUP0101,WH026,3.88,0.3,0,97,26,123.17,466.35,1,983.66,460.25,18456.94,Books,North,1.1
PROD0330,160,2023-07-14,11,SUP0016,WH027,8.14,0.09,0,91,75,655.54,142.37,0,825.39,142.24,27872.29,Electronics,South,3.2
PROD0945,914,2022-11-14,12,SUP0047,WH002,1.78,0.07,0,238,82,877.35,107.88,1,135.27,424.4,1808.52,Clothing,North,4.6
PROD0366,156,2023-08-21,8,SUP0099,WH026,8.31,0.06,1,164,35,760.33,766.66,0,445.02,317.25,21176.86,Home,South,4.8
PROD0780,875,2022-02-03,24,SUP0177,WH029,13.57,0.15,0,272,93,401.67,646.26,0,738.74,214.78,46011.51,Home,South,1.6
PROD0838,414,2023-09-26,1,SUP0106,WH011,8.74,0.29,1,73,52,587.78,569.25,0,833.97,491.47,22368.3,Clothing,West,2.1
PROD0159,387,2023-08-28,16,SUP0172,WH034,6.08,0.01,0,182,20,417.93,438.75,1,316.58,125.91,21366.31,Electronics,East,2.6
PROD0645,501,2022-04-19,6,SUP0055,WH045,9.66,0.05,0,69,88,585.22,491.9,1,976.33,461.21,9273.07,Books,North,2.1
PROD0455,935,2023-12-01,28,SUP0048,WH019,5.95,0.1,0,262,82,634.22,654.61,1,154.01,146.2,9988.76,Books,North,1.0
PROD0325,335,2022-02-15,17,SUP0186,WH012,3.16,0.24,1,79,25,323.2,680.4,1,740.93,168.85,23212.46,Electronics,West,1.9
PROD0807,657,2023-03-05,17,SUP0085,WH015,10.48,0.28,1,138,52,137.8,711.11,1,905.3,397.55,23856.66,Electronics,North,2.8
PROD0979,193,2023-07-27,26,SUP0107,WH035,8.12,0.19,0,275,62,563.5,940.32,0,788.05,310.16,29914.61,Electronics,East,2.3
PROD0495,761,2023-01-15,18,SUP0070,WH022,11.79,0.02,0,65,92,302.08,635.74,0,168.95,329.29,28553.99,Home,West,2.6
PROD0011,346,2023-05-01,3,SUP0177,WH041,9.42,0.1,0,138,33,876.82,146.53,0,834.83,401.72,35858.57,Electronics,South,4.5
PROD0287,372,2023-06-09,3,SUP0031,WH019,1.97,0.11,1,174,80,237.65,953.45,0,190.02,78.11,41154.47,Electronics,South,2.1
PROD0461,506,2023-08-27,19,SUP0089,WH049,9.01,0.01,1,71,94,550.9,869.97,1,576.4,230.37,14863.56,Books,East,1.6
PROD0583,708,2023-03-29,17,SUP0199,WH020,12.63,0.19,1,282,62,750.2,813.61,0,396.37,203.0,40313.2,Books,East,2.4
PROD0945,952,2023-06-03,25,SUP0072,WH036,3.68,0.21,1,52,53,413.8,649.24,0,627.13,87.93,32476.9,Clothing,West,4.9
PROD0098,896,2023-11-21,12,SUP0189,WH039,14.69,0.02,1,106,47,384.47,287.52,1,817.45,59.23,37180.22,Books,East,1.8
PROD0585,495,2022-03-05,28,SUP0063,WH032,10.02,0.27,1,109,38,778.18,419.62,1,785.22,79.49,30245.7,Books,West,3.0
PROD0621,738,2022-07-05,11,SUP0200,WH025,2.72,0.23,0,111,71,509.47,325.15,0,568.99,371.15,35937.87,Home,East,3.0
PROD0600,372,2023-12-24,1,SUP0024,WH013,3.25,0.18,0,181,62,224.77,686.66,1,951.79,188.16,18837.24,Electronics,East,3.2
PROD0809,661,2022-07-03,18,SUP0040,WH016,7.95,0.27,1,128,53,395.41,161.43,0,942.03,199.77,22027.17,Clothing,West,4.5
PROD0838,332,2022-11-23,28,SUP0119,WH003,2.52,0.06,0,233,20,655.41,307.84,0,595.87,380.07,42959.48,Home,East,4.1
PROD0012,973,2023-01-13,18,SUP0145,WH024,9.67,0.26,1,282,77,842.78,212.37,1,246.22,363.09,41760.1,Books,East,4.6
PROD0508,232,2022-03-27,13,SUP0103,WH021,1.9,0.1,0,266,47,546.53,498.05,1,801.0,375.28,30558.34,Electronics,West,3.6
PROD0088,790,2023-05-13,8,SUP0167,WH010,12.64,0.01,1,266,68,432.71,118.43,0,766.78,170.93,18482.28,Home,East,1.5
PROD0874,12/05/2023,2023-05-04,21,SUP0078,WH036,5.9,0.2,1,182,80,478.43,761.56,0,803.33,117.34,47915.44,Books,West,4.3
PROD0886,870,2023-11-12,10,SUP0024,WH012,7.31,0.12,1,147,71,291.5,322.34,0,895.04,289.77,36510.65,Books,North,3.0
PROD0014,666,2023-11-05,26,SUP0006,WH028,11.04,0.12,0,205,99,514.92,607.44,1,641.1,88.82,7864.18,Clothing,South,3.0
PROD0558,732,2022-12-30,15,SUP0108,WH014,3.56,0.12,1,117,98,433.66,947.77,1,217.01,462.37,41014.72,Home,East,2.0
PROD0068,294,2023-07-27,10,SUP0110,WH032,8.48,0.19,0,242,97,116.85,838.56,1,860.71,109.18,20979.7,Electronics,South,4.8
PROD0216,608,2022-08-28,14,SUP0001,WH003,1.47,0.02,1,204,98,506.88,929.59,1,395.96,205.62,18251.72,Books,North,4.9
PROD0969,796,2022-04-16,16,SUP0125,WH015,6.78,0.22,0,288,30,273.75,545.7,1,255.85,106.56,9570.4,Home,East,3.2
PROD0845,54,2023-01-27,2,SUP0162,WH022,6.67,0.25,1,84,82,102.16,641.17,1,910.24,399.55,10245.72,Books,East,4.3
PROD0169,659,2022-05-30,13,SUP0037,WH033,14.18,0.2,0,59,51,826.9,203.75,1,711.63,177.54,16786.71,Books,East,4.5
PROD0380,185,2022-10-29,3,SUP0140,WH036,14.17,0.14,0,240,99,547.42,739.76,0,863.88,314.47,16200.9,Books,North,4.7
PROD0709,28,2023-04-23,8,SUP0131,WH008,13.98,0.11,0,163,60,973.81,255.2,1,457.89,82.41,15192.25,Electronics,West,2.6
PROD0026,168,2023-10-17,4,SUP0045,WH026,12.7,0.12,1,98,74,852.95,876.28,1,481.34,314.1,38234.16,Home,South,2.4
PROD0197,349,2022-01-30,20,SUP0132,WH007,1.76,0.29,0,240,85,915.11,483.15,1,990.0,496.65,25867.55,Books,West,2.9
PROD0141,569,2022-10-23,18,SUP0187,WH043,9.97,0.29,1,294,88,718.64,953.15,0,121.24,119.72,19521.49,Books,East,1.6
PROD0003,352,2022-07-09,5,SUP0086,WH022,5.81,0.22,1,113,90,650.81,624.78,1,860.38,267.69,31104.81,Books,East,4.6
PROD0222,368,2023-10-18,21,SUP0138,WH046,4.7,0.23,0,219,75,332.99,743.3,1,273.27,208.64,12068.71,Home,East,3.5
PROD0918,143,2023-03-16,27,SUP0095,WH029,1.28,0.26,1,202,52,616.46,817.87,1,861.47,467.35,43446.9,Clothing,West,2.4
PROD0799,550,2023-06-21,21,SUP0055,WH035,12.12,0.04,0,226,74,723.98,953.24,0,967.48,133.31,4664.7,Clothing,North,5.0
PROD0427,589,2022-01-20,27,SUP0066,WH046,7.32,0.09,0,282,20,202.69,660.74,0,307.48,321.0,20176.27,Electronics,West,1.5
PROD0264,531,2022-11-28,9,SUP0132,WH035,11.1,0.16,0,209,72,611.74,374.46,0,334.71,223.8,25974.59,Home,West,4.9
PROD0995,8,2022-05-15,29,SUP0113,WH041,5.65,0.01,1,95,87,244.49,653.26,1,377.33,406.47,7645.96,Clothing,North,4.8
PROD0655,610,2022-05-04,2,SUP0185,WH044,1.23,0.09,0,91,85,307.02,477.61,0,876.13,145.59,26849.42,Books,East,1.3
PROD0731,475,2022-08-25,21,SUP0151,WH025,5.47,0.12,0,296,64,964.26,985.05,1,424.63,93.66,27990.35,Books,West,2.1
PROD0465,173,2022-12-15,17,SUP0059,WH033,9.78,0.3,0,282,88,381.67,262.62,0,483.83,97.47,43802.88,Books,East,2.5
PROD0692,165,2023-11-03,21,SUP0067,WH049,4.11,0.14,0,89,87,304.06,400.88,0,529.91,415.41,8006.35,Electronics,West,3.6
PROD0398,442,2023-01-26,11,SUP0010,WH029,1.86,0.27,1,191,42,945.93,280.91,1,677.98,245.55,14729.23,Home,North,2.4
PROD0442,856,2023-10-10,5,SUP0116,WH032,14.2,0.01,0,52,24,567.47,268.33,1,508.84,128.85,24080.46,Home,East,3.6
PROD0064,17,2022-05-09,2,SUP0165,WH001,3.88,0.06,1,209,37,694.59,907.64,0,226.4,402.86,23349.53,Home,East,1.3
PROD0160,442,2022-01-27,14,SUP0187,WH025,6.86,0.05,0,87,37,905.4,670.39,1,359.04,175.71,12681.61,Clothing,North,1.6
PROD0543,77,2022-05-19,24,SUP0020,WH041,9.55,0.17,1,262,85,150.42,827.48,1,263.48,164.49,42431.29,Electronics,South,2.7
PROD0054,254,2022-04-10,12,SUP0072,WH008,14.68,0.27,0,206,23,405.06,707.29,0,380.99,380.88,23435.0,Books,East,1.4
PROD0083,403,2023-01-08,11,SUP0019,WH010,7.53,0.26,1,51,60,620.69,474.29,0,691.44,487.4,8197.21,Books,West,1.0
PROD0971,182,2022-01-15,2,SUP0079,WH001,11.12,0.16,0,207,38,934.74,629.99,0,515.45,94.87,34584.84,Home,North,2.1
PROD0473,672,2023-03-27,10,SUP0010,WH039,1.37,0.23,1,118,98,302.17,823.56,1,413.24,198.85,37237.61,Clothing,West,1.5
,182,2023-06-14,20,SUP0091,WH050,14.99,0.28,0,199,29,748.17,562.56,0,733.6,201.34,38998.28,Clothing,South,1.6
PROD0934,379,2023-04-03,25,SUP0150,WH036,8.53,0.02,0,283,24,563.76,548.18,0,424.71,161.38,8751.68,Electronics,North,4.2
PROD0246,561,2022-08-31,18,SUP0121,WH008,11.08,0.24,0,227,69,127.92,395.96,0,841.22,290.07,31458.73,Electronics,South,2.2
PROD0696,95,2023-07-11,9,SUP0141,WH035,12.27,0.14,0,213,41,139.33,342.17,0,789.77,147.28,36522.4,Electronics,East,1.8
PROD0560,14,2022-01-16,2,SUP0116,WH044,6.4,0.22,1,171,71,494.11,806.75,0,418.6,99.44,44835.26,Home,South,5.0
PROD0847,44,2023-11-12,28,SUP0075,WH007,10.66,0.04,1,156,81,623.08,494.13,1,534.93,188.38,49733.1,Books,North,2.4
PROD0125,494,2023-09-27,5,SUP0035,WH042,9.22,0.17,0,214,66,949.04,656.85,0,931.94,238.69,10869.27,Electronics,South,2.0
PROD1000,514,2023-12-09,3,SUP0121,WH042,3.04,0.13,0,171,82,920.67,948.23,1,361.51,354.37,29489.4,Books,North,2.6
PROD0910,367,2023-10-05,11,SUP0021,WH025,3.33,0.23,1,208,96,880.89,991.71,0,986.67,468.37,44114.25,Books,East,1.2
PROD0744,542,2023-03-20,10,SUP0158,WH009,6.3,0.1,0,180,83,516.96,205.49,0,725.72,186.68,7914.07,Clothing,North,1.4
PROD0011,778,2022-10-30,27,SUP0007,WH003,5.71,0.19,0,77,64,633.05,216.95,1,692.97,160.19,44370.38,Home,North,4.7
PROD0017,18,2023-04-10,19,SUP0180,WH013,3.01,0.18,0,236,58,252.2,658.02,1,412.81,237.72,34276.18,Home,East,2.7
PROD0458,15,2022-11-03,11,SUP0047,WH040,1.31,0.23,1,150,53,843.74,499.79,1,109.06,331.83,27309.79,Home,East,2.8
,896,2023-09-12,1,SUP0169,WH025,5.2,0.09,1,272,76,655.98,718.22,1,387.19,296.87,27723.5,Books,North,3.6
PROD0845,882,2023-10-06,8,SUP0101,WH035,7.15,0.04,0,149,63,446.56,273.13,0,130.03,423.41,40975.34,Home,East,2.3
PROD0736,285,2023-05-16,29,SUP0160,WH001,3.62,0.19,0,51,53,162.07,755.08,1,648.15,218.89,34730.79,Home,South,2.3
PROD0531,51,2023-01-11,29,SUP0101,WH004,4.56,0.05,0,149,81,264.52,968.68,1,366.02,414.92,14403.29,Home,South,4.1
PROD0527,951,2022-04-17,17,SUP0181,WH047,11.66,0.13,0,174,69,220.38,519.14,0,810.27,397.37,5939.19,Clothing,East,2.0
PROD0133,301,2023-04-08,10,SUP0089,WH010,14.92,0.01,0,217,41,804.45,768.03,0,335.26,183.73,14871.33,Books,North,4.6
PROD0847,487,2022-01-09,4,SUP0157,WH031,4.97,0.25,1,145,46,188.5,967.78,0,554.2,492.94,5935.47,Clothing,West,4.2
PROD0645,480,2023-06-18,7,SUP0024,WH047,7.12,0.15,0,284,24,947.28,597.17,0,545.21,363.53,6890.33,Books,West,2.4
PROD0576,357,2023-01-17,12,SUP0161,WH007,3.62,0.18,0,283,85,654.28,963.35,0,116.99,67.06,6009.51,Books,East,3.3
PROD0321,10,2022-03-20,2,SUP0069,WH033,3.51,0.05,1,175,98,518.08,958.15,1,783.49,180.53,39374.74,Books,North,2.6
PROD0008,12/05/2023,2023-06-26,28,SUP0067,WH044,5.02,0.09,0,91,92,154.06,194.98,0,764.62,302.14,25330.92,Books,South,4.7
PROD0806,249,2023-02-27,24,SUP0049,WH032,5.82,0.08,0,94,68,347.01,705.64,1,928.79,164.64,9789.16,Clothing,West,4.8
PROD0039,551,2023-01-25,19,SUP0002,WH019,4.89,0.03,1,126,33,645.55,290.36,1,315.87,221.5,34056.57,Clothing,South,4.8
PROD0123,336,2022-11-20,13,SUP0181,WH003,8.73,0.06,0,191,96,137.23,891.54,0,798.47,354.8,20523.11,Electronics,North,2.7
PROD0687,412,2023-12-22,22,SUP0175,WH031,2.47,0.25,0,109,72,158.38,160.31,0,135.1,224.38,12777.55,Clothing,West,4.9
