ReturnID,OrderID,ProductID,CustomerID,ReturnDate,OrderDate,ReturnReason,RefundAmount,ProductCategory,Region,IsDefective,QualityScore,ReturnWindowDays,RestockingFee,ReturnApproved,CustomerSatisfaction,SupportInteractionCount,ReturnProcessingTime,Courier,ReturnType
RET000087,ORD000087,PROD0856,CUST00852,2022-02-25,2022-11-21,Defective,503.31,Books,East,0,3.3,19,36.34,1,3.1,3,7,FedEx,Partial
RET000088,ORD000088,PROD0154,CUST02493,2023-10-25,2023-03-29,Defective,919.64,Clothing,South,1,2.3,14,29.15,0,5.0,6,12,FedEx,Full
RET000089,ORD000089,PROD0889,CUST01881,2023-12-30,2022-01-31,Late Delivery,383.1,Electronics,South,1,1.7,15,40.47,0,4.1,9,10,UPS,Partial
RET000090,ORD000090,PROD0975,CUST02626,2022-10-19,2022-02-11,Defective,607.08,Books,East,1,4.8,20,36.77,0,2.8,4,11,DHL,Full
RET000091,ORD000091,PROD0854,CUST00508,2023-03-10,2022-04-26,Late Delivery,949.46,Electronics,South,0,1.6,26,21.97,1,1.5,1,7,DHL,Full
RET000092,ORD000092,PROD0331,CUST00758,2022-02-24,2022-12-05,Defective,779.96,Books,East,1,2.0,25,25.18,0,4.7,2,4,FedEx,Full
RET000093,ORD000093,PROD0880,CUST01105,2023-02-12,2023-10-19,Late Delivery,77.24,Electronics,East,0,3.2,20,36.21,1,4.7,3,4,Local,Partial
RET000094,ORD000094,PROD0279,CUST02783,2023-08-27,2023-08-20,Changed Mind,371.49,Home,South,1,4.7,20,6.01,1,3.5,9,1,UPS,Full
RET000095,ORD000095,PROD0302,CUST02179,2023-01-02,2023-12-16,Changed Mind,682.51,Electronics,West,0,2.5,28,47.61,0,3.8,7,7,UPS,Partial
RET000096,ORD000096,PROD0234,CUST02909,2022-04-29,2022-03-01,Late Delivery,957.42,Electronics,East,1,1.8,21,19.06,1,4.6,9,6,UPS,Full
RET000097,ORD000097,PROD0542,CUST02524,2023-07-21,2022-09-28,Defective,446.41,Clothing,South,0,2.4,28,45.4,0,4.5,8,8,DHL,Full
RET000098,ORD000098,PROD0517,CUST00114,2022-01-07,2023-08-13,Changed Mind,762.2,Home,South,1,3.0,25,36.86,0,1.8,5,9,UPS,Partial
RET000099,ORD000099,PROD0063,CUST02239,2022-12-11,2023-05-31,Changed Mind,545.56,Home,West,1,2.8,19,32.86,1,3.6,7,10,DHL,Partial
RET000100,ORD000100,PROD0452,CUST02369,2022-07-07,2022-09-06,Defective,723.48,Electronics,West,1,1.4,8,48.07,1,1.7,9,12,Local,Partial
RET000101,ORD000101,PROD0793,CUST02121,2022-09-27,2022-10-27,Defective,365.91,Clothing,East,0,3.2,9,6.27,1,3.4,4,11,UPS,Partial
RET000102,ORD000102,PROD0384,CUST02792,2023-02-28,2023-09-18,Changed Mind,778.65,Clothing,East,0,1.4,20,14.58,1,2.6,6,14,FedEx,Partial
RET000103,ORD000103,PROD0105,CUST00090,2023-07-16,2022-05-10,Wrong Item,224.97,Books,South,1,3.7,14,45.08,1,1.6,5,13,UPS,Partial
RET000104,ORD000104,PROD0677,CUST02931,2022-07-28,2022-01-21,Defective,876.99,Clothing,North,0,2.1,24,6.26,0,1.5,0,1,UPS,Partial
RET000105,ORD000105,PROD0770,CUST00884,2023-01-06,2023-03-29,Defective,810.37,Clothing,North,0,1.2,26,0.97,1,1.8,3,5,DHL,Full
RET000106,ORD000106,PROD0796,CUST00585,2022-06-04,2022-07-31,Changed Mind,269.07,Home,South,0,4.7,26,42.06,0,1.9,2,6,Local,Partial
RET000107,ORD000107,PROD0630,CUST01490,2023-12-14,2022-02-12,Late Delivery,709.56,Clothing,South,1,3.3,17,32.55,0,1.5,2,4,DHL,Partial
RET000108,ORD000108,PROD0360,CUST02020,2023-08-14,2022-08-30,Defective,231.23,Electronics,West,0,1.6,7,40.46,0,3.0,8,9,DHL,Full
RET000109,ORD000109,PROD0442,CUST01206,2023-12-02,2022-08-06,Wrong Item,707.07,Electronics,West,0,4.8,25,5.37,0,3.4,4,5,Local,Full
RET000110,ORD000110,PROD0403,CUST00635,2023-06-23,2023-01-05,Defective,455.2,Books,West,1,3.0,20,5.23,1,1.1,3,3,FedEx,Full
RET000111,ORD000111,PROD0113,CUST01477,2023-03-02,2022-11-08,Defective,254.17,Electronics,North,0,2.0,25,31.91,0,3.9,0,5,Local,Partial
RET000112,ORD000112,PROD0297,CUST00401,2023-12-08,2022-04-04,Wrong Item,440.62,Books,East,0,3.8,10,49.46,0,2.5,8,2,UPS,Partial
RET000113,ORD000113,PROD0190,CUST00562,2023-04-15,2023-01-17,Wrong Item,259.63,Books,North,1,3.7,28,42.04,1,3.9,3,10,Local,Full
RET000114,ORD000114,PROD0510,CUST01402,2023-03-01,2022-02-08,Defective,922.74,Home,West,0,3.6,13,37.07,1,1.4,6,5,Local,Partial
RET000115,ORD000115,PROD0691,CUST00033,2023-02-08,2022-01-26,Changed Mind,334.4,Electronics,East,0,4.8,20,0.68,1,1.4,2,4,FedEx,Full
RET000116,ORD000116,PROD0737,CUST01520,2023-01-18,2023-09-03,Wrong Item,993.34,Electronics,East,0,4.1,14,20.01,0,3.0,2,9,Local,Full
RET000117,ORD000117,PROD0076,CUST02316,2022-11-28,2022-07-18,Late Delivery,662.65,Electronics,West,0,2.3,7,5.12,0,4.9,8,3,UPS,Partial
RET000118,ORD000118,PROD0331,CUST00266,2022-10-29,2022-06-18,Changed Mind,186.82,Electronics,East,1,2.2,22,7.14,1,1.4,4,2,UPS,Partial
RET000119,12/05/2023,PROD0892,CUST01448,2022-12-16,2022-06-23,Late Delivery,275.21,Electronics,West,1,2.7,17,20.46,0,2.2,8,3,DHL,Full
RET000120,ORD000120,PROD0774,CUST02118,2023-11-05,2022-11-16,Defective,661.94,Books,North,1,3.9,21,4.25,1,1.1,7,1,UPS,Full
RET000121,ORD000121,PROD0799,CUST00671,2023-05-10,2023-11-07,Late Delivery,105.82,Electronics,North,0,4.5,21,20.5,0,2.6,7,9,DHL,Partial
RET000122,ORD000122,PROD0371,CUST02791,2022-03-12,2022-09-06,Late Delivery,488.94,Electronics,West,1,2.3,21,0.59,1,4.2,0,8,Local,Partial
RET000123,ORD000123,PROD0196,CUST00468,2023-01-08,2023-04-05,Wrong Item,920.69,Home,South,0,4.4,25,21.46,1,4.8,9,1,UPS,Partial
RET000124,ORD000124,PROD0151,CUST02069,2023-08-14,2023-01-13,Changed Mind,377.38,Home,South,0,3.8,16,46.6,0,1.3,6,5,DHL,Partial
RET000125,ORD000125,PROD0668,CUST02885,2023-04-21,2023-10-24,Wrong Item,884.53,Home,North,0,3.0,15,28.52,0,4.3,2,12,DHL,Full
RET000126,ORD000126,PROD0915,CUST02487,2023-06-13,2022-06-08,Changed Mind,443.58,Books,South,0,2.3,27,6.98,0,3.0,4,9,Local,Full
RET000127,ORD000127,PROD0625,CUST00885,2022-12-26,2023-08-27,Changed Mind,925.85,Books,East,1,1.9,9,43.46,0,3.7,6,12,DHL,Full
RET000128,ORD000128,PROD0355,CUST00394,2023-10-18,2023-03-08,Defective,579.58,Books,East,0,3.8,11,42.89,1,4.6,3,2,DHL,Partial
RET000129,ORD000129,PROD0683,CUST00930,2023-01-07,2022-12-13,Wrong Item,320.25,Electronics,West,1,4.9,23,23.2,0,3.4,3,6,DHL,Full
RET000130,ORD000130,PROD0370,CUST00986,2022-12-23,2022-07-01,Late Delivery,49.34,Clothing,West,0,3.3,16,48.86,1,4.7,2,3,UPS,Full
RET000131,ORD000131,PROD0749,CUST00220,2023-12-03,2022-12-13,Wrong Item,388.92,Home,West,1,1.8,14,42.73,0,2.9,3,6,DHL,Full
RET000132,ORD000132,PROD0099,CUST01257,2023-12-22,2023-07-04,Wrong Item,675.22,Electronics,West,1,4.2,7,12.87,1,4.2,7,13,DHL,Partial
,ORD000133,PROD0133,CUST02719,2023-05-02,2023-03-31,Changed Mind,281.0,Home,South,0,1.1,22,42.02,0,4.8,6,3,Local,Partial
RET000134,ORD000134,PROD0331,CUST02526,2023-05-27,2023-03-15,Wrong Item,299.53,Electronics,West,1,4.0,19,27.46,1,4.5,2,14,DHL,Partial
RET000135,ORD000135,PROD0030,CUST01079,2023-03-19,2023-12-23,Changed Mind,507.02,Home,West,0,1.8,25,2.71,1,2.7,4,3,UPS,Full
RET000136,ORD000136,PROD0729,CUST02951,2023-10-03,2022-03-19,Defective,802.56,Electronics,North,1,1.6,21,8.1,0,1.3,2,13,FedEx,Full
RET000137,ORD000137,PROD0158,CUST00837,2023-03-05,2023-02-07,Defective,307.06,Electronics,West,0,4.4,12,11.49,1,4.0,2,4,DHL,Partial
RET000138,ORD000138,PROD0894,CUST01949,2023-01-03,2022-11-27,Wrong Item,211.91,Books,South,0,1.6,26,20.13,0,1.1,7,7,UPS,Full
RET000139,ORD000139,PROD0136,CUST01927,2022-09-25,2023-05-20,Wrong Item,639.77,Books,North,1,2.8,11,42.67,0,4.8,1,2,FedEx,Partial
RET000140,ORD000140,PROD0672,CUST01037,2023-03-22,2023-02-26,Late Delivery,821.29,Electronics,West,1,1.7,13,24.35,0,3.0,3,3,UPS,Partial
RET000141,ORD000141,PROD0123,CUST02851,2023-05-25,2022-04-26,Changed Mind,671.39,Home,West,1,2.1,20,35.53,1,5.0,2,7,UPS,Full
RET000142,ORD000142,PROD0298,CUST01136,2023-09-12,2022-12-08,Wrong Item,484.98,Clothing,East,1,1.3,10,10.42,1,2.0,3,11,UPS,Partial
RET000143,ORD000143,PROD0221,CUST00407,2023-10-16,2022-05-21,Changed Mind,224.69,Books,North,0,3.8,18,36.18,1,2.8,8,2,UPS,Full
RET000144,ORD000144,PROD0509,CUST01244,2023-06-16,2022-05-05,Changed Mind,361.49,Home,East,0,4.7,13,8.66,1,4.0,5,13,Local,Full
RET000145,ORD000145,PROD0740,CUST01434,2023-07-08,2022-11-05,Wrong Item,841.41,Home,South,0,1.8,18,24.67,1,2.7,7,6,UPS,Full
RET000146,ORD000146,PROD0738,CUST00152,2023-12-13,2022-11-20,Wrong Item,968.55,Clothing,South,0,4.7,27,43.58,1,2.9,0,12,DHL,Full
RET000147,ORD000147,PROD0313,CUST02121,2023-05-14,2023-08-12,Wrong Item,365.96,Home,North,1,2.4,12,33.94,1,4.6,4,1,Local,Full
RET000148,ORD000148,PROD0158,CUST01230,2023-05-18,2023-01-21,Defective,324.45,Home,East,0,4.4,11,17.0,0,4.1,2,4,DHL,Full
RET000149,ORD000149,PROD0250,CUST00918,2022-10-23,2022-05-11,Changed Mind,578.93,Books,North,0,4.0,18,30.86,0,2.4,6,2,DHL,Full
RET000150,ORD000150,PROD0907,CUST02143,2022-03-25,2022-01-25,Late Delivery,559.91,Books,South,0,3.5,22,6.55,1,3.5,0,8,DHL,Partial
RET000151,ORD000151,PROD0967,CUST01035,2022-06-10,2023-03-02,Changed Mind,19.18,Electronics,South,0,2.5,15,30.6,0,2.8,3,7,FedEx,Partial
RET000152,ORD000152,PROD0423,CUST02329,2022-02-08,2023-10-27,Changed Mind,263.27,Clothing,East,0,1.1,22,15.81,0,3.3,8,11,FedEx,Partial
RET000153,ORD000153,PROD0474,CUST01086,2023-06-02,2022-10-22,Wrong Item,566.71,Clothing,West,1,3.2,9,38.15,1,4.2,0,7,FedEx,Full
RET000154,ORD000154,PROD0713,CUST02090,2022-10-04,2023-09-24,Wrong Item,174.02,Books,East,1,4.7,13,31.34,0,1.3,5,13,FedEx,Full
RET000155,ORD000155,PROD0459,CUST00980,2023-11-21,2022-09-10,Late Delivery,564.57,Clothing,South,1,2.3,13,8.41,0,3.4,5,1,Local,Full
RET000156,ORD000156,PROD0773,CUST02293,2023-12-12,2023-12-04,Changed Mind,960.7,Electronics,North,0,4.1,24,49.96,1,2.3,7,6,UPS,Full
RET000157,ORD000157,PROD0541,CUST00809,2023-08-21,2022-10-07,Changed Mind,124.63,Home,West,0,1.4,27,2.12,1,3.2,7,8,FedEx,Partial
RET000158,ORD000158,PROD0054,CUST02229,2022-04-18,2022-09-26,Late Delivery,561.06,Clothing,West,0,4.9,14,6.93,1,1.9,5,7,UPS,Full
RET000159,ORD000159,PROD0701,CUST00532,2023-06-01,2023-02-27,Defective,706.48,Electronics,North,1,1.4,21,28.44,1,2.5,6,1,FedEx,Full
RET000160,ORD000160,PROD0844,CUST00240,2022-01-12,2022-07-15,Defective,96.21,Clothing,North,0,4.4,20,20.35,1,3.7,9,8,UPS,Full
,ORD000161,PROD0567,CUST00964,2023-09-27,2023-05-09,Wrong Item,546.97,Books,West,0,1.3,10,38.22,1,1.2,3,14,DHL,Full
RET000162,ORD000162,PROD0426,CUST00044,2023-10-01,2023-03-07,Wrong Item,527.23,Home,South,0,2.7,27,24.54,0,4.1,9,3,Local,Full
RET000163,ORD000163,PROD0790,CUST01269,2022-06-05,2023-12-13,Late Delivery,289.92,Books,East,0,2.8,12,9.78,1,1.9,4,6,DHL,Full
RET000164,ORD000164,PROD0174,CUST01941,2023-10-13,2023-09-05,Wrong Item,230.84,Books,East,0,4.4,27,8.78,1,2.4,0,14,FedEx,Full
