CampaignID,StartDate,EndDate,Channel,AdSpend,Clicks,Conversions,RevenueGenerated,CostPerClick,ConversionRate,Impressions,BounceRate,EngagementScore,TargetAudience,Region,CampaignType,Budget,CTR,CPC,CPA
CMP0088,2022-07-14,2023-07-16,Social Media,3386.78,7189,3149,4406.66,3.08,0.13,33464,0.2,6.35,Adults,East,Awareness,18322.46,0.19,2.49,46.81
CMP0373,2022-09-01,2022-07-13,Email,6747.61,253,2339,4831.54,3.06,0.34,5368,0.22,4.03,Seniors,West,Retention,32027.1,0.17,1.93,16.55
CMP0100,2022-10-28,2023-01-22,Email,5963.17,6863,377,13442.1,0.28,0.07,61888,0.17,8.23,Teens,East,Awareness,39024.89,0.11,0.92,18.83
CMP0360,2023-07-06,2022-02-10,Search,6526.16,6559,1893,2501.32,0.94,0.12,64512,0.4,7.45,Adults,North,Awareness,38320.45,0.2,1.31,43.53
CMP0152,2022-10-09,2022-01-03,Email,9656.8,4166,2098,9368.21,3.67,0.14,73003,0.88,2.96,Teens,South,Conversion,26017.95,0.05,2.15,19.52
CMP0131,2023-03-09,2022-05-15,Search,7041.85,910,694,4669.73,3.26,0.3,14403,0.89,3.77,Adults,South,Conversion,5650.65,0.12,2.08,15.56
CMP0150,2022-03-20,2022-02-27,Affiliate,6444.9,250,1783,11631.7,2.28,0.28,28072,0.58,1.03,Teens,North,Conversion,30186.53,0.14,1.43,7.31
CMP0309,2022-11-04,2023-09-13,Affiliate,6174.18,8237,3723,16233.04,0.2,0.26,29796,0.47,8.12,Adults,East,Awareness,3512.31,0.03,0.12,22.59
CMP0258,2023-06-23,2022-06-13,Email,4047.27,9370,2574,1327.28,2.14,0.06,19509,0.34,1.81,Seniors,North,Conversion,21827.68,0.11,1.72,44.48
CMP0344,2022-12-19,2023-04-16,Email,8408.0,878,3951,8559.55,1.31,0.39,95741,0.1,6.15,Adults,North,Retention,33289.07,0.04,1.37,17.01
CMP0492,2022-11-24,2022-08-18,Email,3871.29,4349,3211,14748.12,3.52,0.07,8373,0.31,8.62,Seniors,North,Conversion,7047.41,0.14,1.01,49.59
CMP0414,2022-08-29,2022-06-16,Email,7032.41,4068,1930,7173.96,4.14,0.47,69366,0.22,9.7,Adults,East,Conversion,31453.95,0.04,2.18,6.26
CMP0294,2022-06-21,2022-02-21,Social Media,3002.12,7767,697,1313.27,2.57,0.04,24876,0.1,3.87,Teens,North,Conversion,33975.89,0.16,1.25,15.55
CMP0386,2023-05-10,2022-05-30,Social Media,1562.79,4696,3103,12031.92,2.08,0.44,55670,0.82,2.65,Adults,North,Awareness,44634.27,0.12,1.69,30.89
CMP0192,2023-04-19,2022-11-23,Affiliate,1384.66,7457,2098,2843.21,1.44,0.16,5467,0.17,9.88,Adults,East,Conversion,11621.43,0.04,0.61,40.81
CMP0444,2022-10-25,2022-06-03,Social Media,6382.13,2653,162,7713.43,0.55,0.35,11814,0.67,2.68,Teens,East,Conversion,41146.35,0.13,0.51,29.31
CMP0277,2022-04-30,2023-07-22,Email,3346.75,4203,4663,19815.4,1.92,0.17,42377,0.84,2.35,Adults,South,Retention,17856.57,0.01,1.46,7.7
CMP0161,2022-09-28,2022-07-11,Search,2822.99,5904,4038,8261.39,3.42,0.36,93764,0.2,9.32,Teens,East,Awareness,20012.12,0.02,0.52,22.97
,2023-02-05,2023-11-25,Affiliate,5961.39,4664,1080,16935.71,3.36,0.25,11325,0.29,9.43,Seniors,East,Awareness,48291.1,0.05,2.78,43.75
CMP0314,2022-04-06,2023-09-26,Email,354.13,6564,3800,17266.22,2.12,0.27,90615,0.29,5.31,Adults,South,Retention,25899.95,0.08,1.64,9.0
CMP0022,2023-10-31,2022-02-21,Social Media,2537.63,6815,4108,5625.21,4.83,0.36,25646,0.17,6.76,Teens,North,Conversion,43629.97,0.04,1.7,28.18
CMP0253,2022-12-10,2023-10-07,Search,3471.42,3778,4881,12112.35,4.71,0.08,39080,0.83,4.76,Teens,North,Retention,35233.21,0.16,2.11,34.05
CMP0236,2023-03-30,2023-11-07,Search,7112.9,3805,1069,18975.44,4.39,0.14,4378,0.78,9.34,Seniors,East,Awareness,21532.03,0.03,1.58,49.81
CMP0345,2022-03-30,2022-11-02,Social Media,5495.51,3458,2868,12323.49,2.24,0.42,65518,0.4,8.52,Seniors,South,Conversion,3116.9,0.02,1.93,14.75
CMP0049,2022-11-06,2023-09-24,Email,8574.29,9144,4101,16358.46,3.76,0.4,44753,0.72,5.63,Adults,North,Conversion,25142.07,0.01,0.82,47.47
CMP0475,2022-10-03,2022-07-22,Search,3411.61,4282,4348,9519.98,4.65,0.5,25533,0.51,5.02,Teens,North,Conversion,19348.7,0.12,0.74,25.7
CMP0059,2023-08-06,2022-12-26,Search,3034.77,4065,3831,14526.88,3.71,0.02,96089,0.64,7.18,Adults,East,Retention,26707.7,0.12,0.29,7.56
CMP0170,2023-10-07,2022-06-27,Social Media,428.65,5300,1451,926.11,1.65,0.08,70895,0.65,6.98,Adults,South,Retention,36823.44,0.05,1.42,43.37
CMP0476,2022-08-12,2023-03-03,Search,9522.0,4729,2276,15855.73,0.43,0.18,64446,0.72,1.73,Seniors,West,Awareness,27321.76,0.06,1.35,9.03
CMP0188,2022-03-15,2022-12-04,Search,5064.77,6433,2258,13601.06,4.79,0.35,78912,0.82,3.51,Teens,West,Conversion,33885.96,0.16,2.72,9.36
CMP0464,2022-06-14,2023-03-13,Search,5074.99,7865,4499,7497.55,4.96,0.16,15459,0.73,4.95,Seniors,North,Conversion,35273.36,0.18,0.49,5.16
CMP0271,2023-02-09,2022-07-23,Affiliate,9242.02,5703,610,8631.23,3.5,0.18,61332,0.67,6.05,Teens,South,Retention,39192.89,0.07,1.9,22.84
CMP0190,2023-02-27,2022-12-22,Email,2970.19,4574,845,6868.97,1.65,0.12,64367,0.6,2.72,Adults,West,Conversion,32838.44,0.09,0.82,14.26
CMP0446,2023-03-16,2023-04-12,Email,3387.85,8747,409,10723.59,4.34,0.46,49502,0.27,3.88,Teens,East,Awareness,44155.26,0.02,2.44,12.3
CMP0175,2023-04-03,2022-03-27,Social Media,6597.84,7275,2338,2619.17,4.77,0.28,16863,0.33,5.54,Seniors,North,Awareness,15699.87,0.17,0.55,43.67
CMP0446,2022-04-05,2022-09-01,Email,7873.24,329,1017,16975.84,2.58,0.09,74534,0.16,9.11,Seniors,North,Retention,41952.97,0.13,0.31,26.64
,2022-10-17,2023-03-14,Search,7023.18,6907,776,9822.05,1.63,0.3,56139,0.31,4.49,Teens,South,Awareness,31952.7,0.03,1.11,25.25
CMP0364,2022-04-30,2023-08-14,Email,7908.31,5694,442,1340.49,2.09,0.09,97452,0.54,3.65,Teens,South,Awareness,31052.42,0.12,2.38,41.14
CMP0055,2022-02-24,2023-11-19,Affiliate,5793.57,5119,409,11282.75,0.46,0.14,64780,0.86,8.68,Teens,South,Conversion,10132.36,0.03,0.7,24.18
CMP0244,2023-06-21,2023-08-12,Search,8641.95,3577,338,18645.08,2.87,0.35,54754,0.2,3.09,Teens,East,Conversion,42359.03,0.15,0.93,11.02
CMP0320,2022-07-29,2022-01-03,Search,5546.06,3458,4740,2205.48,1.96,0.38,48208,0.45,6.44,Adults,West,Retention,30477.4,0.04,1.98,9.6
CMP0131,2023-08-31,2022-06-18,Affiliate,2370.47,859,1781,2902.26,4.43,0.22,24354,0.7,4.72,Adults,North,Retention,9860.96,0.1,1.13,19.98
CMP0485,2023-07-20,2023-11-03,Affiliate,5462.84,1466,1622,8050.07,1.45,0.09,48354,0.73,9.16,Adults,South,Awareness,3439.12,0.14,1.97,38.11
CMP0307,2022-02-12,2022-09-08,Email,7158.15,8616,4183,14844.67,0.14,0.11,54889,0.25,7.18,Adults,East,Retention,24841.49,0.04,2.22,32.09
CMP0135,2022-05-26,2022-12-31,Email,6570.4,976,4437,12290.13,3.71,0.27,92862,0.24,8.99,Seniors,North,Retention,14848.98,0.03,0.81,44.31
CMP0021,2022-05-13,2023-09-17,Email,2505.87,266,4255,9430.21,0.14,0.3,72711,0.59,6.94,Teens,East,Retention,15536.57,0.15,1.4,11.92
CMP0329,2023-01-06,2023-03-18,Affiliate,506.67,3764,2014,19858.54,2.78,0.44,79831,0.83,6.06,Teens,South,Awareness,4776.51,0.15,0.85,26.56
CMP0167,2022-11-08,2022-07-27,Email,2599.56,7563,3020,4122.97,0.99,0.14,96697,0.74,4.75,Adults,South,Awareness,11953.45,0.07,2.2,42.37
CMP0274,2022-09-12,2023-01-27,Social Media,9842.02,8872,4255,16524.26,3.09,0.31,30545,0.41,6.51,Seniors,East,Awareness,48401.47,0.05,1.58,37.65
CMP0388,2023-11-01,2023-05-17,Email,1926.22,7450,1618,2914.82,1.07,0.01,41817,0.63,8.08,Seniors,West,Awareness,28431.16,0.18,0.3,17.88
CMP0089,2023-07-12,2023-05-29,Affiliate,4697.28,5795,3128,4002.34,2.56,0.24,58947,0.3,4.88,Seniors,West,Retention,27221.39,0.13,2.27,17.3
CMP0316,2023-12-03,2023-06-02,Affiliate,6419.62,9401,371,6261.16,1.74,0.21,69051,0.48,6.75,Teens,West,Conversion,25780.68,0.11,2.39,23.46
CMP0014,2022-05-16,2023-12-18,Social Media,8806.78,8152,1726,17525.37,0.99,0.07,9832,0.53,4.99,Teens,South,Awareness,38675.62,0.06,0.92,5.83
CMP0242,2022-12-27,2023-01-18,Search,7626.56,9464,2431,9162.01,3.07,0.45,83345,0.61,1.87,Adults,East,Retention,34124.19,0.08,1.92,12.2
CMP0265,2023-01-21,2022-08-30,Social Media,9098.64,9063,4200,8217.82,0.5,0.06,62383,0.42,6.05,Seniors,West,Conversion,10393.48,0.07,2.85,21.41
CMP0346,2023-02-20,2023-12-04,Affiliate,6083.4,1027,3471,10069.15,4.71,0.14,41583,0.13,1.59,Seniors,East,Retention,25562.12,0.19,1.11,37.7
CMP0053,2022-05-24,2023-08-04,Search,8666.66,8897,3991,12802.67,3.91,0.37,14267,0.84,6.37,Adults,East,Conversion,35737.16,0.04,2.62,33.41
CMP0386,2022-10-23,2023-12-04,Social Media,2712.05,4200,2139,8758.14,4.59,0.1,80120,0.86,8.55,Teens,West,Retention,23087.28,0.09,2.88,49.71
CMP0340,2022-05-07,2022-03-24,Social Media,4362.59,4194,4738,19269.37,0.31,0.05,3026,0.65,2.4,Teens,North,Conversion,27559.35,0.02,1.52,20.43
CMP0092,2022-12-10,2022-09-05,Search,8453.35,7083,2470,3139.17,0.11,0.48,80535,0.31,6.37,Adults,West,Conversion,4979.96,0.11,0.79,43.53
CMP0367,2022-01-30,2022-09-04,Social Media,3323.08,7294,2060,9775.49,1.85,0.15,84413,0.58,1.53,Seniors,North,Retention,1591.06,0.17,0.54,20.56
CMP0444,2022-01-09,2023-08-26,Search,8725.1,9293,4118,8600.94,3.12,0.04,29022,0.32,3.44,Adults,South,Awareness,38673.08,0.19,1.55,16.37
CMP0455,2023-10-23,2022-02-04,Email,3694.84,4073,4269,14007.78,1.3,0.08,79991,0.66,2.13,Seniors,West,Awareness,38977.38,0.07,2.71,27.28
CMP0428,2023-10-21,2022-01-20,Search,3697.61,7844,4722,19280.13,2.79,0.12,91967,0.39,1.22,Seniors,West,Awareness,25926.01,0.05,2.0,26.87
CMP0264,2022-03-24,2022-06-30,Social Media,3159.43,513,1378,6124.05,3.07,0.48,34952,0.55,8.61,Adults,West,Conversion,40948.78,0.13,2.34,19.02
CMP0431,2022-10-30,2023-12-03,Email,5514.74,6028,4271,19128.87,0.84,0.02,6293,0.15,4.69,Adults,East,Retention,39308.16,0.07,1.38,45.01
CMP0035,2022-04-11,2022-04-28,Affiliate,1377.78,2114,3156,16640.14,3.87,0.4,81749,0.9,2.36,Seniors,East,Awareness,18529.68,0.03,1.02,46.78
CMP0206,2023-01-25,2022-12-26,Affiliate,462.37,9779,670,16304.32,4.69,0.39,48351,0.63,6.72,Seniors,West,Awareness,25045.65,0.05,2.93,29.12
CMP0081,2023-05-15,2022-04-20,Affiliate,8984.39,9074,4572,1924.98,3.24,0.25,30432,0.85,9.11,Adults,West,Retention,24242.14,0.01,0.7,34.38
,2022-10-09,2023-02-14,Social Media,9296.49,8818,525,18841.38,4.74,0.47,36491,0.7,5.51,Seniors,North,Awareness,1957.58,0.18,2.81,35.72
CMP0050,2022-01-14,2022-06-13,Email,854.09,100,729,16859.09,1.31,0.02,37039,0.55,8.46,Seniors,East,Retention,1010.6,0.08,2.67,18.22
CMP0360,2022-11-24,2023-07-27,Search,5542.01,8562,181,13849.37,0.28,0.25,41541,0.69,8.58,Seniors,West,Awareness,42080.68,0.16,0.45,35.41
CMP0388,2023-12-05,2023-09-03,Affiliate,5442.85,2631,1479,2993.26,1.31,0.13,36535,0.48,7.75,Adults,North,Retention,48911.92,0.13,0.95,23.15
CMP0002,2023-06-16,2022-11-08,Affiliate,3787.06,1171,1183,8690.73,3.28,0.38,81121,0.87,3.48,Seniors,North,Retention,38051.44,0.05,2.53,23.94
CMP0390,2022-07-25,2023-06-02,Email,5732.16,8985,4676,16884.45,3.03,0.09,8886,0.72,5.21,Seniors,North,Retention,4506.15,0.09,0.99,44.43
CMP0054,2023-12-15,2023-06-08,Email,4635.38,2987,4910,9031.86,1.41,0.44,45058,0.2,2.31,Teens,West,Conversion,30825.57,0.09,1.72,30.09
CMP0106,2022-09-14,2022-04-16,Email,4947.39,6616,1184,9010.88,2.1,0.21,16601,0.86,9.28,Adults,East,Retention,31670.86,0.13,1.75,47.04
CMP0260,2022-09-13,2023-10-17,Social Media,7577.83,8005,3754,5767.45,1.9,0.08,86420,0.56,6.93,Adults,North,Retention,14183.29,0.19,2.21,37.86
CMP0310,2022-12-19,2023-11-22,Email,5307.01,2095,4218,1498.17,4.76,0.03,70705,0.46,1.05,Seniors,West,Awareness,24880.95,0.05,2.83,29.88
CMP0477,2022-10-22,2023-11-07,Search,3304.22,3677,1951,10503.57,1.64,0.35,12671,0.73,8.2,Teens,West,Awareness,1625.73,0.09,0.15,36.76
CMP0191,2023-05-07,2023-12-03,Search,5856.42,6309,4041,15602.16,1.05,0.46,79949,0.28,1.13,Adults,North,Awareness,23940.7,0.05,2.81,19.93
CMP0402,2022-08-30,2022-08-16,Affiliate,6443.46,1809,1407,3348.39,2.87,0.49,26399,0.87,6.51,Seniors,West,Retention,14210.1,0.17,2.52,25.83
CMP0218,2023-10-15,2022-02-25,Search,6656.88,2199,4031,17928.66,0.71,0.44,41256,0.23,4.96,Seniors,North,Awareness,11628.19,0.15,0.45,25.16
CMP0044,2023-02-27,2022-01-13,Email,6221.24,6217,707,11328.04,2.59,0.2,80233,0.34,2.88,Seniors,South,Conversion,48745.13,0.17,2.06,42.24
CMP0162,2023-05-15,2023-06-10,Search,6679.57,8761,1784,16339.83,3.47,0.45,23411,0.81,7.79,Teens,North,Conversion,33977.55,0.16,2.05,19.35
CMP0202,2022-03-17,2023-01-18,Affiliate,3169.92,2390,3221,13507.28,4.72,0.33,61317,0.59,9.99,Teens,North,Retention,44732.83,0.02,0.91,29.9
CMP0446,2022-08-25,2023-01-28,Social Media,4516.73,8628,3483,3131.44,4.47,0.04,63375,0.78,7.33,Teens,West,Awareness,8131.17,0.06,2.34,24.29
CMP0484,2023-12-22,2022-07-26,Search,6720.19,8070,4073,18178.55,4.22,0.09,15988,0.26,8.27,Adults,North,Retention,12242.95,0.08,2.63,47.42
CMP0270,2022-03-27,2022-07-29,Affiliate,7568.25,855,2764,14503.92,2.03,0.2,30920,0.74,9.22,Adults,South,Retention,46416.45,0.16,0.82,43.45
CMP0351,2022-12-06,2023-12-05,Affiliate,4398.05,7312,4461,1193.79,4.48,0.16,53568,0.24,4.97,Adults,North,Awareness,14769.56,0.17,2.51,46.91
CMP0304,2023-06-08,2023-03-25,Email,3716.8,2199,4344,11810.86,3.61,0.17,32505,0.69,6.75,Teens,South,Conversion,44084.2,0.1,2.3,24.73
CMP0271,2022-07-04,2023-09-27,Affiliate,7187.24,512,3063,9862.46,2.26,0.37,90355,0.22,5.79,Adults,South,Awareness,37218.26,0.2,0.32,22.87
CMP0456,2022-04-01,2022-10-12,Search,2299.51,4203,4618,17253.5,2.86,0.04,76638,0.37,3.85,Teens,North,Retention,2850.59,0.11,2.09,17.29
CMP0462,2022-07-05,2023-07-30,Affiliate,193.97,3093,2690,2894.31,2.24,0.31,23226,0.48,1.58,Teens,West,Retention,8449.29,0.11,0.56,15.72
CMP0215,2023-04-09,2022-10-19,Affiliate,4764.54,346,3613,12021.46,1.06,0.17,51644,0.84,8.72,Seniors,North,Conversion,28326.22,0.11,0.68,24.95
CMP0252,2023-09-11,2023-11-08,Email,1816.39,7662,3354,6550.46,2.31,0.44,35091,0.69,1.92,Seniors,East,Conversion,45935.68,0.15,0.43,12.49
CMP0190,2022-11-08,2023-12-07,Email,3845.0,7077,1439,5289.57,4.06,0.04,29481,0.33,6.06,Seniors,West,Conversion,29232.25,0.08,2.21,49.83
CMP0296,2022-12-15,2022-05-26,Search,2983.22,7606,2171,939.44,1.41,0.49,98262,0.46,1.28,Seniors,South,Retention,35235.72,0.18,2.82,12.85
CMP0213,2023-07-16,2023-10-15,Affiliate,7794.89,8703,36,6978.45,3.24,0.05,15271,0.38,5.82,Teens,East,Awareness,34018.81,0.11,0.94,38.82
CMP0208,2023-05-18,2023-07-14,Social Media,3380.94,7195,3781,8223.87,2.81,0.22,63011,0.85,1.51,Seniors,South,Retention,6581.23,0.09,1.56,42.53
CMP0237,2023-08-05,2023-07-26,Affiliate,6442.69,3467,1451,9231.84,4.61,0.43,50354,0.24,7.37,Seniors,South,Retention,41639.97,0.06,1.54,48.16
CMP0338,2023-03-29,2023-06-22,Social Media,6771.73,2789,4697,14827.07,3.76,0.17,36416,0.83,6.34,Teens,East,Awareness,36868.03,0.08,0.12,18.56
CMP0367,2023-03-23,2023-06-13,Search,4618.9,687,2237,8369.08,1.87,0.43,93640,0.76,7.47,Adults,West,Retention,16685.13,0.14,1.0,44.45
,2022-07-08,2022-05-05,Email,902.67,1568,576,4307.18,2.85,0.48,4674,0.2,6.09,Adults,West,Conversion,23571.36,0.2,0.73,18.07
CMP0280,2022-04-02,2023-04-29,Search,7033.61,332,256,8263.85,4.56,0.07,14972,0.32,7.71,Adults,North,Conversion,24517.32,0.12,0.12,27.71
CMP0410,2023-04-18,2023-03-22,Email,844.16,6985,1533,1856.52,1.21,0.24,59061,0.67,4.3,Adults,East,Retention,39918.96,0.11,0.5,31.0
CMP0217,2023-05-24,2022-01-06,Email,1082.21,8111,2374,19455.45,2.42,0.12,37662,0.67,3.95,Adults,East,Retention,47658.6,0.07,1.73,28.02
CMP0252,2023-01-19,2022-02-10,Affiliate,2040.37,7240,3975,1791.55,1.19,0.39,38871,0.29,5.45,Adults,South,Awareness,43032.8,0.18,2.11,12.24
CMP0188,2023-06-19,2023-01-18,Affiliate,2875.72,1986,3702,4436.87,2.15,0.06,9066,0.61,5.54,Teens,North,Awareness,24456.33,0.13,3.0,49.52
CMP0380,2022-09-06,2023-08-25,Email,8479.87,409,1783,8846.62,0.39,0.39,92198,0.65,4.05,Seniors,West,Conversion,17566.09,0.17,2.15,12.72
CMP0493,2022-07-15,2023-07-05,Social Media,6781.73,8180,2947,18701.41,4.39,0.34,87120,0.16,5.46,Seniors,South,Awareness,12321.66,0.02,0.36,7.95
CMP0041,2022-10-23,2022-04-12,Social Media,3933.41,9235,3900,3985.37,4.89,0.32,56836,0.4,2.91,Adults,North,Conversion,34636.04,0.16,1.39,5.2
CMP0157,2023-04-30,2022-12-20,Affiliate,9788.41,9199,1101,8295.68,2.88,0.22,17656,0.82,6.86,Seniors,West,Conversion,21461.38,0.06,2.03,38.64
,2023-03-03,2022-10-22,Search,2511.67,2848,756,19791.68,2.81,0.26,49825,0.82,9.75,Adults,South,Conversion,7972.07,0.19,1.53,7.29
CMP0301,2022-04-01,2022-03-04,Social Media,6137.16,1700,1584,12239.93,4.78,0.06,59480,0.63,6.44,Seniors,North,Retention,3410.75,0.04,1.01,15.09
CMP0065,2022-08-14,2023-05-22,Email,8487.42,645,4450,12484.37,2.03,0.14,78035,0.62,5.27,Teens,North,Retention,29527.66,0.03,0.26,28.54
CMP0345,2023-03-05,2023-01-10,Affiliate,8040.02,3923,3611,19495.52,3.14,0.46,89637,0.78,9.14,Adults,North,Conversion,43797.42,0.08,1.28,14.88
CMP0327,2023-07-04,2023-01-26,Affiliate,994.05,3414,2109,10368.91,4.2,0.23,25941,0.37,6.93,Teens,North,Conversion,17206.07,0.07,1.08,42.31
CMP0009,2022-01-11,2023-05-27,Email,7003.01,5030,3526,549.93,2.58,0.21,38325,0.14,3.67,Seniors,East,Awareness,11360.25,0.2,2.59,26.43
CMP0344,2023-03-25,2023-05-27,Search,2652.85,5829,3815,1104.1,1.19,0.03,46423,0.78,6.59,Teens,North,Awareness,25637.38,0.13,0.6,45.03
CMP0129,2023-11-08,2022-06-13,Email,3621.76,8091,2862,13787.26,4.08,0.44,35376,0.35,7.71,Teens,North,Awareness,37881.03,0.16,2.9,44.94
CMP0492,2023-04-30,2023-12-24,Search,4941.02,5661,601,4624.47,1.43,0.38,55081,0.64,7.94,Adults,West,Conversion,2724.21,0.04,2.53,26.21
CMP0136,2023-08-03,2022-04-21,Affiliate,7928.43,1941,702,9830.37,4.23,0.05,53484,0.49,1.07,Adults,North,Conversion,43954.89,0.2,0.85,14.75
CMP0472,2022-08-06,2023-12-14,Search,1745.39,1736,1173,11251.76,4.73,0.08,32121,0.22,7.89,Teens,West,Retention,49560.72,0.17,0.2,21.42
CMP0063,2023-07-19,2022-07-12,Email,1174.7,7676,3802,13513.33,2.78,0.07,16274,0.43,8.19,Seniors,East,Retention,22872.86,0.19,1.46,44.84
CMP0139,2023-11-11,2023-04-30,Affiliate,1619.07,1775,418,2133.06,0.34,0.33,41360,0.31,2.58,Seniors,West,Retention,42376.57,0.05,1.97,42.1
CMP0499,2022-07-01,2023-01-10,Social Media,2260.41,1890,2392,15320.85,4.78,0.09,68976,0.11,8.66,Seniors,West,Awareness,21498.79,0.07,0.99,15.76
CMP0081,2022-03-27,2023-09-05,Affiliate,689.07,3244,414,18443.28,4.17,0.5,10323,0.52,7.41,Adults,North,Conversion,6152.34,0.18,0.14,27.18
CMP0392,2023-07-07,2023-04-21,Email,9270.93,7067,4752,5487.04,0.68,0.29,99755,0.55,6.58,Adults,East,Retention,25615.01,0.08,2.87,38.06
CMP0163,2023-01-18,2023-01-20,Email,3258.93,255,1493,7918.7,3.18,0.44,69034,0.34,7.92,Adults,West,Awareness,9699.5,0.01,1.09,18.86
CMP0419,2023-11-05,2022-01-24,Affiliate,1852.06,7014,2132,15004.45,1.65,0.37,86030,0.34,3.28,Adults,West,Awareness,10375.01,0.19,2.8,36.63
CMP0289,2023-10-04,2023-08-30,Affiliate,6414.56,9225,874,5344.59,1.72,0.02,43615,0.46,2.39,Adults,South,Conversion,39972.33,0.05,1.03,9.33
CMP0379,2022-11-22,2023-05-19,Affiliate,7891.26,8867,1594,11073.77,2.94,0.22,59077,0.59,1.62,Seniors,North,Retention,6044.69,0.01,1.96,28.87
CMP0261,2023-10-31,2022-09-24,Search,7557.02,9625,226,13368.96,3.59,0.19,28876,0.87,4.89,Teens,East,Conversion,15400.21,0.07,1.81,22.79
CMP0490,2023-03-26,2023-12-14,Social Media,7215.2,3207,752,17645.84,0.16,0.48,60735,0.48,5.56,Adults,North,Conversion,18751.65,0.14,2.46,7.79
CMP0231,2023-01-22,2023-02-15,Search,600.25,4443,4523,7234.63,0.85,0.18,68215,0.85,1.93,Seniors,South,Conversion,45553.61,0.13,2.74,42.66
CMP0041,2022-11-12,2023-01-18,Email,7843.38,9743,3848,10106.64,4.52,0.35,97411,0.88,4.59,Seniors,East,Awareness,30891.26,0.05,1.44,17.83
CMP0028,2023-05-31,2022-07-15,Affiliate,5068.6,5263,3284,4099.69,2.53,0.3,17381,0.59,3.35,Seniors,South,Awareness,3773.21,0.1,1.33,13.58
CMP0135,2023-07-21,2023-12-08,Search,6525.95,4648,4761,6498.4,2.51,0.37,49733,0.55,8.96,Adults,East,Awareness,14772.8,0.14,2.43,30.95
CMP0201,2023-04-07,2023-06-15,Search,9568.6,5338,873,2351.26,4.22,0.04,88800,0.15,6.15,Seniors,South,Conversion,4128.59,0.12,0.49,44.97
CMP0328,2023-05-11,2022-01-05,Email,8125.66,7616,3992,4353.94,0.73,0.47,43070,0.28,2.57,Seniors,East,Awareness,37060.88,0.15,0.85,42.17
CMP0268,2023-01-07,2023-09-23,Search,8271.18,6936,2865,7251.12,3.6,0.5,7129,0.9,5.37,Seniors,West,Awareness,10519.51,0.09,0.44,10.69
CMP0418,2023-06-02,2023-04-13,Email,1896.53,1039,4056,8773.3,2.58,0.28,4684,0.7,1.37,Adults,West,Retention,11927.29,0.08,0.97,23.65
,2023-07-20,2023-07-19,Search,4816.53,9385,3694,14284.11,3.73,0.09,74110,0.63,5.04,Teens,South,Retention,6916.12,0.02,1.68,47.74
CMP0048,2022-06-17,2023-03-10,Social Media,9498.32,7190,4401,9439.75,3.43,0.44,15587,0.55,9.11,Teens,North,Retention,34739.47,0.18,2.09,13.29
